sample_mono_ns,scope,account_index,role,tid,user_cpu_ns,system_cpu_ns,voluntary_context_switches,nonvoluntary_context_switches
7339437433662094,process,-1,process,91,330000000,1350000000,1,2
7339437433662094,thread,-1,producer,91,10000000,40000000,1,2
7339437433662094,thread,-1,sampler,108,0,0,1,0
7339437433662094,thread,0,account_worker,104,0,20000000,0,45092
7339437433662094,thread,0,trader_callback,92,30000000,100000000,0,0
7339437433662094,thread,0,trace_writer,93,10000000,110000000,0,0
7339437433662094,thread,0,latency_writer,94,40000000,80000000,0,2
7339437433662094,thread,1,account_worker,105,0,30000000,0,48136
7339437433662094,thread,1,trader_callback,95,10000000,110000000,0,3
7339437433662094,thread,1,trace_writer,96,20000000,90000000,0,5
7339437433662094,thread,1,latency_writer,97,20000000,90000000,0,1
7339437433662094,thread,2,account_worker,106,0,20000000,0,50032
7339437433662094,thread,2,trader_callback,98,10000000,90000000,0,6
7339437433662094,thread,2,trace_writer,99,10000000,100000000,0,2
7339437433662094,thread,2,latency_writer,100,10000000,90000000,0,5
7339437433662094,thread,3,account_worker,107,20000000,70000000,0,7
7339437433662094,thread,3,trader_callback,101,10000000,90000000,0,3
7339437433662094,thread,3,trace_writer,102,20000000,70000000,0,0
7339437433662094,thread,3,latency_writer,103,20000000,60000000,0,0
7339437534462172,process,-1,process,91,620000000,2530000000,2,2
7339437534462172,thread,-1,producer,91,10000000,40000000,2,2
7339437534462172,thread,-1,sampler,108,0,0,2,0
7339437534462172,thread,0,account_worker,104,20000000,80000000,0,59958
7339437534462172,thread,0,trader_callback,92,60000000,170000000,0,0
7339437534462172,thread,0,trace_writer,93,30000000,190000000,0,0
7339437534462172,thread,0,latency_writer,94,60000000,160000000,0,3
7339437534462172,thread,1,account_worker,105,10000000,60000000,0,117375
7339437534462172,thread,1,trader_callback,95,40000000,190000000,0,3
7339437534462172,thread,1,trace_writer,96,30000000,190000000,0,7
7339437534462172,thread,1,latency_writer,97,50000000,170000000,0,2
7339437534462172,thread,2,account_worker,106,20000000,50000000,0,119400
7339437534462172,thread,2,trader_callback,98,20000000,180000000,0,13
7339437534462172,thread,2,trace_writer,99,30000000,170000000,0,5
7339437534462172,thread,2,latency_writer,100,20000000,180000000,0,13
7339437534462172,thread,3,account_worker,107,60000000,140000000,0,10
7339437534462172,thread,3,trader_callback,101,20000000,180000000,0,4
7339437534462172,thread,3,trace_writer,102,30000000,160000000,0,0
7339437534462172,thread,3,latency_writer,103,40000000,140000000,0,0
7339437635008500,process,-1,process,91,960000000,3700000000,102,2
7339437635008500,thread,-1,producer,91,10000000,40000000,102,2
7339437635008500,thread,-1,sampler,108,0,0,3,0
7339437635008500,thread,0,account_worker,104,50000000,150000000,0,59958
7339437635008500,thread,0,trader_callback,92,80000000,260000000,0,0
7339437635008500,thread,0,trace_writer,93,60000000,260000000,0,0
7339437635008500,thread,0,latency_writer,94,80000000,250000000,0,3
7339437635008500,thread,1,account_worker,105,40000000,80000000,0,186776
7339437635008500,thread,1,trader_callback,95,40000000,280000000,0,7
7339437635008500,thread,1,trace_writer,96,40000000,270000000,0,8
7339437635008500,thread,1,latency_writer,97,50000000,260000000,0,4
7339437635008500,thread,2,account_worker,106,30000000,90000000,0,188798
7339437635008500,thread,2,trader_callback,98,50000000,260000000,0,19
7339437635008500,thread,2,trace_writer,99,50000000,260000000,0,12
7339437635008500,thread,2,latency_writer,100,40000000,260000000,0,17
7339437635008500,thread,3,account_worker,107,110000000,180000000,0,11
7339437635008500,thread,3,trader_callback,101,40000000,260000000,0,6
7339437635008500,thread,3,trace_writer,102,50000000,240000000,0,3
7339437635008500,thread,3,latency_writer,103,50000000,230000000,0,0
7339437735573586,process,-1,process,91,1220000000,4950000000,202,2
7339437735573586,thread,-1,producer,91,10000000,40000000,202,2
7339437735573586,thread,-1,sampler,108,0,0,4,0
7339437735573586,thread,0,account_worker,104,90000000,220000000,0,59958
7339437735573586,thread,0,trader_callback,92,90000000,350000000,0,0
7339437735573586,thread,0,trace_writer,93,90000000,340000000,0,0
7339437735573586,thread,0,latency_writer,94,100000000,330000000,0,3
7339437735573586,thread,1,account_worker,105,50000000,120000000,0,255736
7339437735573586,thread,1,trader_callback,95,60000000,370000000,0,10
7339437735573586,thread,1,trace_writer,96,50000000,370000000,0,13
7339437735573586,thread,1,latency_writer,97,80000000,340000000,0,8
7339437735573586,thread,2,account_worker,106,40000000,130000000,0,257756
7339437735573586,thread,2,trader_callback,98,60000000,350000000,0,19
7339437735573586,thread,2,trace_writer,99,70000000,340000000,0,15
7339437735573586,thread,2,latency_writer,100,40000000,360000000,0,29
7339437735573586,thread,3,account_worker,107,160000000,240000000,0,11
7339437735573586,thread,3,trader_callback,101,50000000,350000000,0,12
7339437735573586,thread,3,trace_writer,102,60000000,330000000,0,3
7339437735573586,thread,3,latency_writer,103,60000000,310000000,0,0
7339437836128906,process,-1,process,91,1540000000,6140000000,303,2
7339437836128906,thread,-1,producer,91,10000000,40000000,303,2
7339437836128906,thread,-1,sampler,108,0,0,5,0
7339437836128906,thread,0,account_worker,104,130000000,280000000,0,59958
7339437836128906,thread,0,trader_callback,92,110000000,430000000,0,0
7339437836128906,thread,0,trace_writer,93,110000000,420000000,0,0
7339437836128906,thread,0,latency_writer,94,120000000,410000000,0,4
7339437836128906,thread,1,account_worker,105,60000000,160000000,0,326224
7339437836128906,thread,1,trader_callback,95,60000000,460000000,0,11
7339437836128906,thread,1,trace_writer,96,60000000,450000000,0,18
7339437836128906,thread,1,latency_writer,97,80000000,430000000,0,13
7339437836128906,thread,2,account_worker,106,50000000,170000000,0,328250
7339437836128906,thread,2,trader_callback,98,80000000,430000000,0,26
7339437836128906,thread,2,trace_writer,99,90000000,410000000,0,15
7339437836128906,thread,2,latency_writer,100,50000000,450000000,0,43
7339437836128906,thread,3,account_worker,107,190000000,300000000,0,11
7339437836128906,thread,3,trader_callback,101,90000000,420000000,0,14
7339437836128906,thread,3,trace_writer,102,80000000,410000000,0,6
7339437836128906,thread,3,latency_writer,103,80000000,400000000,0,0
7339437936693069,process,-1,process,91,1810000000,7370000000,398,2
7339437936693069,thread,-1,producer,91,10000000,40000000,398,2
7339437936693069,thread,-1,sampler,108,0,0,6,0
7339437936693069,thread,0,account_worker,104,160000000,350000000,0,59958
7339437936693069,thread,0,trader_callback,92,130000000,510000000,0,0
7339437936693069,thread,0,trace_writer,93,130000000,500000000,0,1
7339437936693069,thread,0,latency_writer,94,150000000,480000000,0,4
7339437936693069,thread,1,account_worker,105,80000000,190000000,0,389085
7339437936693069,thread,1,trader_callback,95,80000000,550000000,0,13
7339437936693069,thread,1,trace_writer,96,70000000,540000000,0,19
7339437936693069,thread,1,latency_writer,97,90000000,530000000,0,14
7339437936693069,thread,2,account_worker,106,70000000,200000000,0,391110
7339437936693069,thread,2,trader_callback,98,90000000,520000000,0,29
7339437936693069,thread,2,trace_writer,99,110000000,500000000,0,21
7339437936693069,thread,2,latency_writer,100,70000000,530000000,0,49
7339437936693069,thread,3,account_worker,107,230000000,370000000,0,11
7339437936693069,thread,3,trader_callback,101,90000000,510000000,0,16
7339437936693069,thread,3,trace_writer,102,100000000,500000000,0,7
7339437936693069,thread,3,latency_writer,103,90000000,490000000,0,0
7339438037258988,process,-1,process,91,2110000000,8580000000,499,2
7339438037258988,thread,-1,producer,91,10000000,40000000,499,2
7339438037258988,thread,-1,sampler,108,0,0,7,0
7339438037258988,thread,0,account_worker,104,190000000,420000000,0,59958
7339438037258988,thread,0,trader_callback,92,140000000,600000000,0,0
7339438037258988,thread,0,trace_writer,93,150000000,580000000,0,1
7339438037258988,thread,0,latency_writer,94,160000000,570000000,0,6
7339438037258988,thread,1,account_worker,105,90000000,230000000,0,448896
7339438037258988,thread,1,trader_callback,95,90000000,640000000,0,13
7339438037258988,thread,1,trace_writer,96,80000000,630000000,1,20
7339438037258988,thread,1,latency_writer,97,100000000,620000000,0,17
7339438037258988,thread,2,account_worker,106,90000000,230000000,0,450913
7339438037258988,thread,2,trader_callback,98,100000000,610000000,0,35
7339438037258988,thread,2,trace_writer,99,120000000,590000000,0,22
7339438037258988,thread,2,latency_writer,100,80000000,620000000,0,53
7339438037258988,thread,3,account_worker,107,280000000,410000000,0,11
7339438037258988,thread,3,trader_callback,101,110000000,590000000,0,22
7339438037258988,thread,3,trace_writer,102,130000000,560000000,0,8
7339438037258988,thread,3,latency_writer,103,120000000,560000000,0,1
7339438137837843,process,-1,process,91,2380000000,9770000000,599,2
7339438137837843,thread,-1,producer,91,10000000,40000000,599,2
7339438137837843,thread,-1,sampler,108,0,0,8,0
7339438137837843,thread,0,account_worker,104,230000000,480000000,0,59958
7339438137837843,thread,0,trader_callback,92,150000000,690000000,0,2
7339438137837843,thread,0,trace_writer,93,170000000,660000000,0,2
7339438137837843,thread,0,latency_writer,94,170000000,660000000,0,7
7339438137837843,thread,1,account_worker,105,100000000,270000000,0,516380
7339438137837843,thread,1,trader_callback,95,100000000,720000000,0,14
7339438137837843,thread,1,trace_writer,96,100000000,720000000,1,23
7339438137837843,thread,1,latency_writer,97,130000000,690000000,0,20
7339438137837843,thread,2,account_worker,106,90000000,280000000,0,518404
7339438137837843,thread,2,trader_callback,98,110000000,700000000,0,42
7339438137837843,thread,2,trace_writer,99,130000000,680000000,0,25
7339438137837843,thread,2,latency_writer,100,100000000,680000000,0,26662
7339438137837843,thread,3,account_worker,107,320000000,470000000,0,12
7339438137837843,thread,3,trader_callback,101,110000000,660000000,0,26651
7339438137837843,thread,3,trace_writer,102,150000000,650000000,0,8
7339438137837843,thread,3,latency_writer,103,130000000,650000000,0,1
7339438238377818,process,-1,process,91,2670000000,10890000000,700,2
7339438238377818,thread,-1,producer,91,10000000,40000000,700,2
7339438238377818,thread,-1,sampler,108,0,0,9,0
7339438238377818,thread,0,account_worker,104,270000000,530000000,0,59959
7339438238377818,thread,0,trader_callback,92,160000000,780000000,0,2
7339438238377818,thread,0,trace_writer,93,190000000,740000000,0,2
7339438238377818,thread,0,latency_writer,94,190000000,740000000,0,7
7339438238377818,thread,1,account_worker,105,110000000,310000000,0,584068
7339438238377818,thread,1,trader_callback,95,110000000,820000000,0,15
7339438238377818,thread,1,trace_writer,96,100000000,810000000,1,24
7339438238377818,thread,1,latency_writer,97,150000000,760000000,0,21
7339438238377818,thread,2,account_worker,106,100000000,320000000,0,586089
7339438238377818,thread,2,trader_callback,98,130000000,780000000,0,45
7339438238377818,thread,2,trace_writer,99,140000000,760000000,0,25
7339438238377818,thread,2,latency_writer,100,110000000,720000000,0,79549
7339438238377818,thread,3,account_worker,107,380000000,520000000,0,12
7339438238377818,thread,3,trader_callback,101,120000000,710000000,0,79541
7339438238377818,thread,3,trace_writer,102,160000000,740000000,0,12
7339438238377818,thread,3,latency_writer,103,160000000,730000000,0,1
7339438338947056,process,-1,process,91,2910000000,12060000000,801,2
7339438338947056,thread,-1,producer,91,10000000,40000000,801,2
7339438338947056,thread,-1,sampler,108,0,0,10,0
7339438338947056,thread,0,account_worker,104,310000000,600000000,0,59959
7339438338947056,thread,0,trader_callback,92,180000000,870000000,0,2
7339438338947056,thread,0,trace_writer,93,200000000,830000000,0,2
7339438338947056,thread,0,latency_writer,94,200000000,830000000,0,7
7339438338947056,thread,1,account_worker,105,120000000,350000000,0,650972
7339438338947056,thread,1,trader_callback,95,120000000,910000000,0,16
7339438338947056,thread,1,trace_writer,96,120000000,880000000,1,26950
7339438338947056,thread,1,latency_writer,97,170000000,850000000,0,24
7339438338947056,thread,2,account_worker,106,110000000,360000000,0,652995
7339438338947056,thread,2,trader_callback,98,150000000,870000000,0,51
7339438338947056,thread,2,trace_writer,99,160000000,850000000,0,28
7339438338947056,thread,2,latency_writer,100,120000000,780000000,0,112519
