sequence,mono_ns,account_index,stage,latency_ns
1,7350000930977804,0,market_to_signal,123
2,7350000931941821,0,market_to_signal,51
3,7350000932975574,0,market_to_signal,40
4,7350000933978040,0,market_to_signal,94
5,7350000934095230,0,signal_to_order_call,116390
6,7350000934098950,0,callback_to_state,3181
7,7350000934102541,0,callback_to_state,2491
8,7350000934102541,0,simulated_end_to_end,125772
9,7350000934975796,0,market_to_signal,123
10,7350000935974700,0,market_to_signal,57
11,7350000936989070,0,market_to_signal,81
12,7350000937121389,0,signal_to_order_call,131474
13,7350000937128912,0,callback_to_state,4178
14,7350000937134599,0,callback_to_state,4714
15,7350000937134599,0,simulated_end_to_end,158963
16,7350000937981826,0,market_to_signal,122
17,7350000938976612,0,market_to_signal,167
18,7350000939086655,0,signal_to_order_call,109132
19,7350000939092876,0,callback_to_state,3820
20,7350000939098828,0,callback_to_state,5011
21,7350000939098828,0,simulated_end_to_end,124454
22,7350000939976686,0,market_to_signal,150
23,7350000940979099,0,market_to_signal,168
24,7350000941977464,0,market_to_signal,69
25,7350000942974727,0,market_to_signal,173
26,7350000943091346,0,signal_to_order_call,115761
27,7350000943097181,0,callback_to_state,3607
28,7350000943101917,0,callback_to_state,3828
29,7350000943101917,0,simulated_end_to_end,128693
30,7350000943974706,0,market_to_signal,120
31,7350000944974376,0,market_to_signal,60
32,7350000945974669,0,market_to_signal,82
33,7350000946090181,0,signal_to_order_call,114595
34,7350000946095029,0,callback_to_state,3071
35,7350000946099229,0,callback_to_state,3532
36,7350000946099229,0,simulated_end_to_end,125705
37,7350000946975435,0,market_to_signal,121
38,7350000947975968,0,market_to_signal,158
39,7350000948116269,0,signal_to_order_call,139428
40,7350000948122370,0,callback_to_state,3959
41,7350000948126857,0,callback_to_state,3437
42,7350000948126857,0,simulated_end_to_end,152592
43,7350000948975958,0,market_to_signal,105
44,7350000949974523,0,market_to_signal,59
45,7350000950975532,0,market_to_signal,65
46,7350000951974828,0,market_to_signal,143
47,7350000952107558,0,signal_to_order_call,131937
48,7350000952114587,0,callback_to_state,4349
49,7350000952120267,0,callback_to_state,4898
50,7350000952120267,0,simulated_end_to_end,146809
51,7350000952975223,0,market_to_signal,122
52,7350000953974274,0,market_to_signal,61
53,7350000954974248,0,market_to_signal,63
54,7350000955086948,0,signal_to_order_call,111905
55,7350000955092654,0,callback_to_state,3357
56,7350000955095037,0,callback_to_state,1728
57,7350000955095037,0,simulated_end_to_end,122127
58,7350000955975929,0,market_to_signal,85
59,7350000956977360,0,market_to_signal,69
60,7350000957091598,0,signal_to_order_call,113426
61,7350000957097136,0,callback_to_state,3221
62,7350000957099352,0,callback_to_state,1343
63,7350000957099352,0,simulated_end_to_end,125020
64,7350000957974271,0,market_to_signal,100
65,7350000958974989,0,market_to_signal,40
66,7350000959974168,0,market_to_signal,50
67,7350000960975706,0,market_to_signal,104
68,7350000961086673,0,signal_to_order_call,110040
69,7350000961091787,0,callback_to_state,2876
70,7350000961095869,0,callback_to_state,3419
71,7350000961095869,0,simulated_end_to_end,121442
72,7350000961974497,0,market_to_signal,40
73,7350000962974355,0,market_to_signal,51
74,7350000963974171,0,market_to_signal,104
75,7350000964089913,0,signal_to_order_call,115020
76,7350000964094542,0,callback_to_state,2947
77,7350000964097054,0,callback_to_state,1613
78,7350000964097054,0,simulated_end_to_end,124092
79,7350000964975393,0,market_to_signal,40
80,7350000965976276,0,market_to_signal,103
81,7350000966085195,0,signal_to_order_call,108004
82,7350000966090963,0,callback_to_state,3095
83,7350000966094911,0,callback_to_state,3106
84,7350000966094911,0,simulated_end_to_end,119821
85,7350000966974354,0,market_to_signal,61
86,7350000967974356,0,market_to_signal,39
87,7350000968974777,0,market_to_signal,101
88,7350000969981398,0,market_to_signal,79
89,7350000970092995,0,signal_to_order_call,110782
90,7350000970098852,0,callback_to_state,3239
91,7350000970103163,0,callback_to_state,3464
92,7350000970103163,0,simulated_end_to_end,123613
93,7350000970983766,0,market_to_signal,79
94,7350000971976191,0,market_to_signal,53
95,7350000972975243,0,market_to_signal,78
96,7350000973085686,0,signal_to_order_call,109594
97,7350000973091388,0,callback_to_state,3261
98,7350000973095885,0,callback_to_state,3609
99,7350000973095885,0,simulated_end_to_end,121813
100,7350000973976482,0,market_to_signal,115
101,7350000974981022,0,market_to_signal,102
102,7350000975091873,0,signal_to_order_call,109934
103,7350000975097309,0,callback_to_state,3020
104,7350000975101264,0,callback_to_state,3114
105,7350000975101264,0,simulated_end_to_end,121826
106,7350000975977137,0,market_to_signal,141
107,7350000976976735,0,market_to_signal,39
108,7350000977977102,0,market_to_signal,59
109,7350000978975689,0,market_to_signal,80
110,7350000979089686,0,signal_to_order_call,111872
111,7350000979098983,0,callback_to_state,3226
112,7350000979102847,0,callback_to_state,2646
113,7350000979102847,0,simulated_end_to_end,128836
114,7350000979974827,0,market_to_signal,110
115,7350000980975658,0,market_to_signal,60
116,7350000981974221,0,market_to_signal,55
117,7350000982085587,0,signal_to_order_call,110530
118,7350000982090779,0,callback_to_state,3107
119,7350000982095235,0,callback_to_state,3517
120,7350000982095235,0,simulated_end_to_end,122251
121,7350000982975227,0,market_to_signal,77
122,7350000983972981,0,market_to_signal,74
123,7350000984089453,0,signal_to_order_call,115613
124,7350000984095180,0,callback_to_state,3159
125,7350000984099199,0,callback_to_state,3351
126,7350000984099199,0,simulated_end_to_end,127925
127,7350000984976486,0,market_to_signal,121
128,7350000985975658,0,market_to_signal,48
129,7350000986974435,0,market_to_signal,59
130,7350000987975628,0,market_to_signal,55
131,7350000988092856,0,signal_to_order_call,116406
132,7350000988098277,0,callback_to_state,3154
133,7350000988102346,0,callback_to_state,3195
134,7350000988102346,0,simulated_end_to_end,128001
135,7350000988976843,0,market_to_signal,112
136,7350000989974456,0,market_to_signal,52
137,7350000990974440,0,market_to_signal,82
138,7350000991083781,0,signal_to_order_call,108520
139,7350000991088388,0,callback_to_state,2875
140,7350000991090975,0,callback_to_state,1684
141,7350000991090975,0,simulated_end_to_end,117871
142,7350000991977017,0,market_to_signal,113
143,7350000992974889,0,market_to_signal,56
144,7350000993090824,0,signal_to_order_call,115049
145,7350000993096167,0,callback_to_state,3039
146,7350000993099715,0,callback_to_state,2577
