sample_mono_ns,scope,account_index,role,tid,user_cpu_ns,system_cpu_ns,voluntary_context_switches,nonvoluntary_context_switches
7349998830265479,process,-1,process,70,0,20000000,1,2
7349998830265479,thread,-1,producer,70,0,10000000,1,2
7349998830265479,thread,-1,sampler,75,0,0,0,0
7349998830265479,thread,0,account_worker,74,0,0,0,0
7349998830265479,thread,0,trader_callback,71,0,10000000,0,0
7349998830265479,thread,0,trace_writer,72,0,0,0,0
7349998830265479,thread,0,latency_writer,73,0,0,0,0
7349998930633059,process,-1,process,70,90000000,330000000,2,2
7349998930633059,thread,-1,producer,70,0,10000000,2,2
7349998930633059,thread,-1,sampler,75,0,0,1,0
7349998930633059,thread,0,account_worker,74,40000000,60000000,0,2
7349998930633059,thread,0,trader_callback,71,10000000,100000000,0,0
7349998930633059,thread,0,trace_writer,72,30000000,60000000,0,0
7349998930633059,thread,0,latency_writer,73,0,90000000,0,2
7349999030966964,process,-1,process,70,200000000,620000000,103,2
7349999030966964,thread,-1,producer,70,0,10000000,103,2
7349999030966964,thread,-1,sampler,75,0,0,2,0
7349999030966964,thread,0,account_worker,74,90000000,100000000,0,3
7349999030966964,thread,0,trader_callback,71,30000000,180000000,0,1
7349999030966964,thread,0,trace_writer,72,40000000,150000000,0,0
7349999030966964,thread,0,latency_writer,73,20000000,170000000,0,3
7349999131232352,process,-1,process,70,350000000,880000000,203,2
7349999131232352,thread,-1,producer,70,0,10000000,203,2
7349999131232352,thread,-1,sampler,75,0,0,3,0
7349999131232352,thread,0,account_worker,74,160000000,130000000,0,4
7349999131232352,thread,0,trader_callback,71,50000000,260000000,0,1
7349999131232352,thread,0,trace_writer,72,70000000,220000000,0,1
7349999131232352,thread,0,latency_writer,73,40000000,250000000,0,4
7349999231557971,process,-1,process,70,450000000,1180000000,303,2
7349999231557971,thread,-1,producer,70,0,10000000,303,2
7349999231557971,thread,-1,sampler,75,0,0,4,0
7349999231557971,thread,0,account_worker,74,210000000,180000000,0,4
7349999231557971,thread,0,trader_callback,71,60000000,340000000,0,1
7349999231557971,thread,0,trace_writer,72,90000000,300000000,0,1
