mono_ns,account_index,queue,depth,capacity,high_watermark,oldest_age_ns,dropped
7349998830265479,0,market_ingress,0,1024,0,0,0
7349998830265479,0,trader_request,0,1024,0,0,0
7349998830265479,0,trading_callback,0,1024,0,0,0
7349998830265479,0,trace,0,8192,0,0,0
7349998830265479,0,latency,0,4096,0,0,0
7349998930633059,0,market_ingress,0,1024,0,0,0
7349998930633059,0,trader_request,0,1024,0,0,0
7349998930633059,0,trading_callback,0,1024,0,0,0
7349998930633059,0,trace,0,8192,0,0,0
7349998930633059,0,latency,0,4096,0,0,0
7349999030966964,0,market_ingress,0,1024,1,0,0
7349999030966964,0,trader_request,0,1024,1,0,0
7349999030966964,0,trading_callback,0,1024,2,0,0
7349999030966964,0,trace,0,8192,3,0,0
7349999030966964,0,latency,0,4096,0,0,0
7349999131232352,0,market_ingress,0,1024,1,0,0
7349999131232352,0,trader_request,0,1024,1,0,0
7349999131232352,0,trading_callback,0,1024,2,0,0
7349999131232352,0,trace,0,8192,3,0,0
7349999131232352,0,latency,0,4096,0,0,0
7349999231557971,0,market_ingress,0,1024,1,0,0
7349999231557971,0,trader_request,0,1024,1,0,0
7349999231557971,0,trading_callback,0,1024,2,0,0
7349999231557971,0,trace,0,8192,3,0,0
7349999231557971,0,latency,0,4096,0,0,0
7349999331830429,0,market_ingress,0,1024,1,0,0
7349999331830429,0,trader_request,0,1024,1,0,0
7349999331830429,0,trading_callback,0,1024,2,0,0
7349999331830429,0,trace,0,8192,3,0,0
7349999331830429,0,latency,0,4096,0,0,0
7349999432182058,0,market_ingress,0,1024,1,0,0
7349999432182058,0,trader_request,0,1024,1,0,0
7349999432182058,0,trading_callback,0,1024,2,0,0
7349999432182058,0,trace,0,8192,3,0,0
7349999432182058,0,latency,0,4096,0,0,0
7349999532531869,0,market_ingress,0,1024,1,0,0
7349999532531869,0,trader_request,0,1024,1,0,0
7349999532531869,0,trading_callback,0,1024,2,0,0
7349999532531869,0,trace,0,8192,11,0,0
7349999532531869,0,latency,0,4096,0,0,0
7349999632880639,0,market_ingress,0,1024,1,0,0
7349999632880639,0,trader_request,0,1024,1,0,0
7349999632880639,0,trading_callback,0,1024,2,0,0
7349999632880639,0,trace,0,8192,11,0,0
7349999632880639,0,latency,0,4096,0,0,0
7349999733164313,0,market_ingress,0,1024,1,0,0
7349999733164313,0,trader_request,0,1024,1,0,0
7349999733164313,0,trading_callback,0,1024,2,0,0
7349999733164313,0,trace,0,8192,11,0,0
7349999733164313,0,latency,0,4096,0,0,0
7349999833450407,0,market_ingress,0,1024,1,0,0
7349999833450407,0,trader_request,0,1024,1,0,0
7349999833450407,0,trading_callback,0,1024,2,0,0
7349999833450407,0,trace,0,8192,11,0,0
7349999833450407,0,latency,0,4096,0,0,0
7349999933746881,0,market_ingress,0,1024,1,0,0
7349999933746881,0,trader_request,0,1024,1,0,0
7349999933746881,0,trading_callback,0,1024,2,0,0
7349999933746881,0,trace,0,8192,11,0,0
7349999933746881,0,latency,0,4096,0,0,0
7350000034017647,0,market_ingress,0,1024,1,0,0
7350000034017647,0,trader_request,0,1024,1,0,0
7350000034017647,0,trading_callback,0,1024,2,0,0
7350000034017647,0,trace,0,8192,11,0,0
7350000034017647,0,latency,0,4096,0,0,0
7350000134276867,0,market_ingress,0,1024,1,0,0
7350000134276867,0,trader_request,0,1024,1,0,0
7350000134276867,0,trading_callback,0,1024,2,0,0
7350000134276867,0,trace,0,8192,11,0,0
7350000134276867,0,latency,0,4096,0,0,0
7350000234550333,0,market_ingress,0,1024,1,0,0
7350000234550333,0,trader_request,0,1024,1,0,0
7350000234550333,0,trading_callback,0,1024,2,0,0
7350000234550333,0,trace,0,8192,11,0,0
7350000234550333,0,latency,0,4096,0,0,0
7350000334814299,0,market_ingress,0,1024,1,0,0
7350000334814299,0,trader_request,0,1024,1,0,0
7350000334814299,0,trading_callback,0,1024,2,0,0
7350000334814299,0,trace,0,8192,11,0,0
7350000334814299,0,latency,0,4096,0,0,0
7350000435135088,0,market_ingress,0,1024,1,0,0
7350000435135088,0,trader_request,0,1024,1,0,0
7350000435135088,0,trading_callback,0,1024,2,0,0
7350000435135088,0,trace,0,8192,11,0,0
7350000435135088,0,latency,0,4096,0,0,0
7350000535475500,0,market_ingress,0,1024,1,0,0
7350000535475500,0,trader_request,0,1024,1,0,0
7350000535475500,0,trading_callback,0,1024,2,0,0
7350000535475500,0,trace,0,8192,11,0,0
7350000535475500,0,latency,0,4096,0,0,0
7350000635823776,0,market_ingress,0,1024,1,0,0
7350000635823776,0,trader_request,0,1024,1,0,0
7350000635823776,0,trading_callback,0,1024,2,0,0
7350000635823776,0,trace,0,8192,11,0,0
7350000635823776,0,latency,0,4096,0,0,0
7350000736142202,0,market_ingress,0,1024,1,0,0
7350000736142202,0,trader_request,0,1024,1,0,0
7350000736142202,0,trading_callback,0,1024,2,0,0
7350000736142202,0,trace,0,8192,11,0,0
7350000736142202,0,latency,0,4096,0,0,0
7350000836413249,0,market_ingress,0,1024,1,0,0
7350000836413249,0,trader_request,0,1024,1,0,0
7350000836413249,0,trading_callback,0,1024,2,0,0
7350000836413249,0,trace,0,8192,11,0,0
7350000836413249,0,latency,0,4096,0,0,0
7350000936685636,0,market_ingress,0,1024,1,0,0
7350000936685636,0,trader_request,0,1024,1,0,0
7350000936685636,0,trading_callback,0,1024,2,0,0
