sample_mono_ns,scope,account_index,role,tid,user_cpu_ns,system_cpu_ns,voluntary_context_switches,nonvoluntary_context_switches
7339398991338844,process,-1,process,79,10000000,70000000,1,3
7339398991338844,thread,-1,producer,79,0,20000000,1,3
7339398991338844,thread,-1,sampler,88,0,0,0,0
7339398991338844,thread,0,account_worker,86,0,0,0,0
7339398991338844,thread,0,trader_callback,80,0,20000000,0,0
7339398991338844,thread,0,trace_writer,81,0,0,0,0
7339398991338844,thread,0,latency_writer,82,0,10000000,0,1
7339398991338844,thread,1,account_worker,87,0,0,0,0
7339398991338844,thread,1,trader_callback,83,0,10000000,0,0
7339398991338844,thread,1,trace_writer,84,0,0,0,0
7339398991338844,thread,1,latency_writer,85,0,0,0,0
7339399091811668,process,-1,process,79,240000000,650000000,2,3
7339399091811668,thread,-1,producer,79,0,20000000,2,3
7339399091811668,thread,-1,sampler,88,0,0,1,0
7339399091811668,thread,0,account_worker,86,30000000,60000000,0,3
7339399091811668,thread,0,trader_callback,80,30000000,90000000,0,1
7339399091811668,thread,0,trace_writer,81,20000000,90000000,0,1
7339399091811668,thread,0,latency_writer,82,30000000,70000000,0,7
7339399091811668,thread,1,account_worker,87,40000000,50000000,0,3
7339399091811668,thread,1,trader_callback,83,30000000,70000000,0,4
7339399091811668,thread,1,trace_writer,84,10000000,80000000,0,1
7339399091811668,thread,1,latency_writer,85,10000000,80000000,0,14
7339399192186357,process,-1,process,79,360000000,1320000000,102,3
7339399192186357,thread,-1,producer,79,0,20000000,102,3
7339399192186357,thread,-1,sampler,88,0,0,2,0
7339399192186357,thread,0,account_worker,86,60000000,130000000,0,5843
7339399192186357,thread,0,trader_callback,80,40000000,180000000,0,2
7339399192186357,thread,0,trace_writer,81,30000000,170000000,0,4
7339399192186357,thread,0,latency_writer,82,30000000,170000000,0,8
7339399192186357,thread,1,account_worker,87,70000000,120000000,0,5842
7339399192186357,thread,1,trader_callback,83,50000000,150000000,0,7
7339399192186357,thread,1,trace_writer,84,30000000,160000000,0,1
7339399192186357,thread,1,latency_writer,85,10000000,180000000,0,17
7339399292543732,process,-1,process,79,520000000,1940000000,202,3
7339399292543732,thread,-1,producer,79,0,20000000,202,3
7339399292543732,thread,-1,sampler,88,0,0,3,0
7339399292543732,thread,0,account_worker,86,80000000,190000000,0,22768
7339399292543732,thread,0,trader_callback,80,50000000,260000000,0,3
7339399292543732,thread,0,trace_writer,81,40000000,260000000,0,5
7339399292543732,thread,0,latency_writer,82,50000000,250000000,0,10
7339399292543732,thread,1,account_worker,87,100000000,180000000,0,22769
7339399292543732,thread,1,trader_callback,83,70000000,230000000,0,8
7339399292543732,thread,1,trace_writer,84,50000000,240000000,0,1
7339399292543732,thread,1,latency_writer,85,30000000,260000000,0,23
7339399392913356,process,-1,process,79,720000000,2540000000,302,3
7339399392913356,thread,-1,producer,79,0,20000000,302,3
7339399392913356,thread,-1,sampler,88,0,0,4,0
7339399392913356,thread,0,account_worker,86,130000000,250000000,0,22768
7339399392913356,thread,0,trader_callback,80,80000000,330000000,0,9
7339399392913356,thread,0,trace_writer,81,50000000,350000000,0,5
7339399392913356,thread,0,latency_writer,82,70000000,340000000,0,13
7339399392913356,thread,1,account_worker,87,160000000,220000000,0,22782
7339399392913356,thread,1,trader_callback,83,90000000,310000000,0,11
7339399392913356,thread,1,trace_writer,84,70000000,330000000,0,2
7339399392913356,thread,1,latency_writer,85,40000000,350000000,0,29
7339399493285169,process,-1,process,79,850000000,3210000000,403,3
7339399493285169,thread,-1,producer,79,0,20000000,403,3
7339399493285169,thread,-1,sampler,88,0,0,5,0
7339399493285169,thread,0,account_worker,86,140000000,340000000,0,22769
7339399493285169,thread,0,trader_callback,80,100000000,420000000,0,14
7339399493285169,thread,0,trace_writer,81,60000000,440000000,0,5
7339399493285169,thread,0,latency_writer,82,80000000,420000000,0,16
7339399493285169,thread,1,account_worker,87,190000000,280000000,0,22797
7339399493285169,thread,1,trader_callback,83,120000000,390000000,0,17
7339399493285169,thread,1,trace_writer,84,70000000,420000000,0,2
7339399493285169,thread,1,latency_writer,85,50000000,450000000,0,33
