sequence,mono_ns,account_index,stage,latency_ns
1,7339401092199757,0,market_to_signal,161
2,7339401093158046,0,market_to_signal,63
3,7339401094197193,0,market_to_signal,40
4,7339401095200981,0,market_to_signal,267
5,7339401095318499,0,signal_to_order_call,116143
6,7339401095326021,0,callback_to_state,3488
7,7339401095334849,0,callback_to_state,2730
8,7339401095334849,0,simulated_end_to_end,135073
9,7339401096200814,0,market_to_signal,107
10,7339401097199625,0,market_to_signal,40
11,7339401098195499,0,market_to_signal,301
12,7339401098310872,0,signal_to_order_call,114082
13,7339401098315972,0,callback_to_state,3342
14,7339401098325905,0,callback_to_state,3834
15,7339401098325905,0,simulated_end_to_end,131618
16,7339401099202282,0,market_to_signal,83
17,7339401100198656,0,market_to_signal,264
18,7339401100313296,0,signal_to_order_call,113481
19,7339401100323427,0,callback_to_state,3291
20,7339401100328681,0,callback_to_state,4337
21,7339401100328681,0,simulated_end_to_end,131601
22,7339401101197326,0,market_to_signal,99
23,7339401102196777,0,market_to_signal,46
24,7339401103198146,0,market_to_signal,51
25,7339401104196682,0,market_to_signal,282
26,7339401104311179,0,signal_to_order_call,113340
27,7339401104321780,0,callback_to_state,3390
28,7339401104330363,0,callback_to_state,6349
29,7339401104330363,0,simulated_end_to_end,134988
30,7339401105198495,0,market_to_signal,83
31,7339401106196425,0,market_to_signal,50
32,7339401107195985,0,market_to_signal,268
33,7339401107309949,0,signal_to_order_call,112739
34,7339401107314995,0,callback_to_state,3328
35,7339401107325655,0,callback_to_state,3929
36,7339401107325655,0,simulated_end_to_end,130764
37,7339401108196994,0,market_to_signal,128
38,7339401109197488,0,market_to_signal,376
39,7339401109315810,0,signal_to_order_call,117029
40,7339401109325052,0,callback_to_state,3437
41,7339401109329175,0,callback_to_state,3251
42,7339401109329175,0,simulated_end_to_end,133401
43,7339401110195177,0,market_to_signal,82
44,7339401111198791,0,market_to_signal,51
45,7339401112197016,0,market_to_signal,59
46,7339401113202008,0,market_to_signal,270
47,7339401113316860,0,signal_to_order_call,113234
48,7339401113328151,0,callback_to_state,4059
49,7339401113335596,0,callback_to_state,5197
50,7339401113335596,0,simulated_end_to_end,135210
51,7339401114199789,0,market_to_signal,85
52,7339401115197567,0,market_to_signal,51
53,7339401116202896,0,market_to_signal,297
54,7339401116320901,0,signal_to_order_call,116479
55,7339401116324949,0,callback_to_state,3475
56,7339401116329405,0,callback_to_state,2006
57,7339401116329405,0,simulated_end_to_end,128354
58,7339401117201390,0,market_to_signal,55
59,7339401118202884,0,market_to_signal,259
60,7339401118317151,0,signal_to_order_call,113159
61,7339401118326525,0,callback_to_state,3066
62,7339401118329138,0,callback_to_state,1816
63,7339401118329138,0,simulated_end_to_end,130455
64,7339401119199191,0,market_to_signal,94
65,7339401120198363,0,market_to_signal,49
66,7339401121200390,0,market_to_signal,67
67,7339401122199609,0,market_to_signal,271
68,7339401122314799,0,signal_to_order_call,113954
69,7339401122327250,0,callback_to_state,3299
70,7339401122334719,0,callback_to_state,4578
71,7339401122334719,0,simulated_end_to_end,136865
72,7339401123199537,0,market_to_signal,111
73,7339401124197695,0,market_to_signal,58
74,7339401125199086,0,market_to_signal,272
75,7339401125316520,0,signal_to_order_call,116261
76,7339401125320385,0,callback_to_state,3476
77,7339401125324903,0,callback_to_state,1768
78,7339401125324903,0,simulated_end_to_end,127460
79,7339401126199724,0,market_to_signal,85
80,7339401127196563,0,market_to_signal,431
81,7339401127311399,0,signal_to_order_call,113397
82,7339401127321262,0,callback_to_state,3465
83,7339401127325826,0,callback_to_state,3845
84,7339401127325826,0,simulated_end_to_end,130929
85,7339401128198605,0,market_to_signal,83
86,7339401129196116,0,market_to_signal,51
87,7339401130195726,0,market_to_signal,59
88,7339401131196248,0,market_to_signal,270
