mono_ns,account_index,queue,depth,capacity,high_watermark,oldest_age_ns,dropped
7339360756403027,0,market_ingress,0,1024,0,0,0
7339360756403027,0,trader_request,0,1024,0,0,0
7339360756403027,0,trading_callback,0,1024,0,0,0
7339360756403027,0,trace,0,8192,0,0,0
7339360756403027,0,latency,0,4096,0,0,0
7339360856780751,0,market_ingress,0,1024,0,0,0
7339360856780751,0,trader_request,0,1024,0,0,0
7339360856780751,0,trading_callback,0,1024,0,0,0
7339360856780751,0,trace,0,8192,0,0,0
7339360856780751,0,latency,0,4096,0,0,0
7339360957059952,0,market_ingress,0,1024,1,0,0
7339360957059952,0,trader_request,0,1024,1,0,0
7339360957059952,0,trading_callback,0,1024,2,0,0
7339360957059952,0,trace,0,8192,3,0,0
7339360957059952,0,latency,0,4096,0,0,0
7339361057339976,0,market_ingress,0,1024,1,0,0
7339361057339976,0,trader_request,0,1024,1,0,0
7339361057339976,0,trading_callback,0,1024,2,0,0
7339361057339976,0,trace,0,8192,3,0,0
7339361057339976,0,latency,0,4096,0,0,0
7339361157708804,0,market_ingress,0,1024,3,0,0
7339361157708804,0,trader_request,0,1024,1,0,0
7339361157708804,0,trading_callback,0,1024,2,0,0
7339361157708804,0,trace,0,8192,3,0,0
7339361157708804,0,latency,0,4096,0,0,0
7339361258069836,0,market_ingress,0,1024,3,0,0
7339361258069836,0,trader_request,0,1024,1,0,0
7339361258069836,0,trading_callback,0,1024,2,0,0
7339361258069836,0,trace,0,8192,3,0,0
7339361258069836,0,latency,0,4096,0,0,0
7339361358428634,0,market_ingress,0,1024,3,0,0
7339361358428634,0,trader_request,0,1024,1,0,0
7339361358428634,0,trading_callback,0,1024,2,0,0
7339361358428634,0,trace,0,8192,3,0,0
7339361358428634,0,latency,0,4096,0,0,0
7339361458765653,0,market_ingress,0,1024,3,0,0
7339361458765653,0,trader_request,0,1024,1,0,0
7339361458765653,0,trading_callback,0,1024,2,0,0
7339361458765653,0,trace,0,8192,13,0,0
7339361458765653,0,latency,0,4096,0,0,0
7339361559115774,0,market_ingress,0,1024,3,0,0
7339361559115774,0,trader_request,0,1024,1,0,0
7339361559115774,0,trading_callback,0,1024,2,0,0
7339361559115774,0,trace,0,8192,13,0,0
7339361559115774,0,latency,0,4096,0,0,0
7339361659435616,0,market_ingress,0,1024,3,0,0
7339361659435616,0,trader_request,0,1024,1,0,0
7339361659435616,0,trading_callback,0,1024,2,0,0
7339361659435616,0,trace,0,8192,13,0,0
7339361659435616,0,latency,0,4096,0,0,0
7339361759788393,0,market_ingress,4,1024,4,2997176,0
7339361759788393,0,trader_request,0,1024,1,0,0
7339361759788393,0,trading_callback,0,1024,2,0,0
7339361759788393,0,trace,0,8192,13,0,0
7339361759788393,0,latency,0,4096,0,0,0
7339361860150738,0,market_ingress,0,1024,7,0,0
7339361860150738,0,trader_request,0,1024,1,0,0
7339361860150738,0,trading_callback,0,1024,3,0,0
7339361860150738,0,trace,0,8192,13,0,0
7339361860150738,0,latency,0,4096,0,0,0
7339361960440381,0,market_ingress,0,1024,7,0,0
7339361960440381,0,trader_request,0,1024,1,0,0
7339361960440381,0,trading_callback,0,1024,3,0,0
7339361960440381,0,trace,0,8192,13,0,0
7339361960440381,0,latency,0,4096,0,0,0
7339362060756610,0,market_ingress,0,1024,7,0,0
7339362060756610,0,trader_request,0,1024,1,0,0
7339362060756610,0,trading_callback,0,1024,3,0,0
7339362060756610,0,trace,0,8192,13,0,0
7339362060756610,0,latency,0,4096,0,0,0
7339362161040072,0,market_ingress,0,1024,7,0,0
7339362161040072,0,trader_request,0,1024,1,0,0
7339362161040072,0,trading_callback,0,1024,3,0,0
7339362161040072,0,trace,0,8192,13,0,0
7339362161040072,0,latency,0,4096,0,0,0
7339362261328724,0,market_ingress,0,1024,7,0,0
7339362261328724,0,trader_request,0,1024,1,0,0
7339362261328724,0,trading_callback,0,1024,3,0,0
7339362261328724,0,trace,0,8192,13,0,0
7339362261328724,0,latency,0,4096,0,0,0
7339362361617315,0,market_ingress,0,1024,7,0,0
7339362361617315,0,trader_request,0,1024,1,0,0
7339362361617315,0,trading_callback,0,1024,3,0,0
7339362361617315,0,trace,0,8192,13,0,0
7339362361617315,0,latency,0,4096,0,0,0
7339362461926201,0,market_ingress,0,1024,7,0,0
7339362461926201,0,trader_request,0,1024,1,0,0
7339362461926201,0,trading_callback,0,1024,3,0,0
7339362461926201,0,trace,0,8192,13,0,0
7339362461926201,0,latency,0,4096,0,0,0
7339362562227499,0,market_ingress,0,1024,7,0,0
7339362562227499,0,trader_request,0,1024,1,0,0
7339362562227499,0,trading_callback,0,1024,3,0,0
7339362562227499,0,trace,0,8192,13,0,0
7339362562227499,0,latency,0,4096,0,0,0
7339362662560838,0,market_ingress,0,1024,7,0,0
7339362662560838,0,trader_request,0,1024,1,0,0
7339362662560838,0,trading_callback,0,1024,3,0,0
7339362662560838,0,trace,0,8192,13,0,0
7339362662560838,0,latency,0,4096,0,0,0
7339362762855426,0,market_ingress,0,1024,7,0,0
7339362762855426,0,trader_request,0,1024,1,0,0
7339362762855426,0,trading_callback,0,1024,3,0,0
7339362762855426,0,trace,0,8192,13,0,0
7339362762855426,0,latency,0,4096,0,0,0
7339362863135380,0,market_ingress,0,1024,7,0,0
7339362863135380,0,trader_request,0,1024,1,0,0
7339362863135380,0,trading_callback,0,1024,3,0,0
7339362863135380,0,trace,0,8192,13,0,0
7339362863135380,0,latency,0,4096,2,0,0
7339362963431368,0,market_ingress,0,1024,7,0,0
7339362963431368,0,trader_request,0,1024,1,0,0
7339362963431368,0,trading_callback,0,1024,3,0,0
7339362963431368,0,trace,0,8192,13,0,0
7339362963431368,0,latency,0,4096,2,0,0
7339363063692159,0,market_ingress,0,1024,7,0,0
7339363063692159,0,trader_request,0,1024,1,0,0
7339363063692159,0,trading_callback,0,1024,3,0,0
7339363063692159,0,trace,0,8192,13,0,0
7339363063692159,0,latency,0,4096,2,0,0
7339363163982278,0,market_ingress,0,1024,7,0,0
7339363163982278,0,trader_request,0,1024,1,0,0
7339363163982278,0,trading_callback,0,1024,3,0,0
7339363163982278,0,trace,0,8192,13,0,0
7339363163982278,0,latency,0,4096,2,0,0
7339363264301893,0,market_ingress,0,1024,7,0,0
7339363264301893,0,trader_request,0,1024,1,0,0
7339363264301893,0,trading_callback,0,1024,3,0,0
7339363264301893,0,trace,0,8192,13,0,0
7339363264301893,0,latency,0,4096,2,0,0
7339363364588641,0,market_ingress,0,1024,7,0,0
7339363364588641,0,trader_request,0,1024,1,0,0
7339363364588641,0,trading_callback,0,1024,3,0,0
7339363364588641,0,trace,0,8192,13,0,0
7339363364588641,0,latency,0,4096,2,0,0
7339363464956288,0,market_ingress,0,1024,7,0,0
7339363464956288,0,trader_request,0,1024,1,0,0
7339363464956288,0,trading_callback,0,1024,3,0,0
7339363464956288,0,trace,0,8192,13,0,0
7339363464956288,0,latency,0,4096,2,0,0
7339363565253982,0,market_ingress,0,1024,7,0,0
7339363565253982,0,trader_request,0,1024,1,0,0
7339363565253982,0,trading_callback,0,1024,3,0,0
7339363565253982,0,trace,0,8192,13,0,0
7339363565253982,0,latency,0,4096,3,0,0
7339363665542705,0,market_ingress,0,1024,7,0,0
7339363665542705,0,trader_request,0,1024,1,0,0
7339363665542705,0,trading_callback,0,1024,3,0,0
7339363665542705,0,trace,0,8192,13,0,0
7339363665542705,0,latency,0,4096,3,0,0
7339363765843270,0,market_ingress,1,1024,7,16855,0
7339363765843270,0,trader_request,0,1024,1,0,0
7339363765843270,0,trading_callback,0,1024,3,0,0
7339363765843270,0,trace,0,8192,13,0,0
7339363765843270,0,latency,0,4096,3,0,0
7339363866164830,0,market_ingress,0,1024,7,0,0
7339363866164830,0,trader_request,0,1024,1,0,0
7339363866164830,0,trading_callback,0,1024,3,0,0
7339363866164830,0,trace,0,8192,13,0,0
7339363866164830,0,latency,0,4096,3,0,0
7339363966479689,0,market_ingress,0,1024,7,0,0
7339363966479689,0,trader_request,0,1024,1,0,0
7339363966479689,0,trading_callback,0,1024,3,0,0
7339363966479689,0,trace,0,8192,13,0,0
7339363966479689,0,latency,0,4096,3,0,0
7339364066767289,0,market_ingress,0,1024,7,0,0
7339364066767289,0,trader_request,0,1024,1,0,0
7339364066767289,0,trading_callback,0,1024,3,0,0
7339364066767289,0,trace,0,8192,13,0,0
7339364066767289,0,latency,0,4096,6,0,0
7339364167055884,0,market_ingress,0,1024,7,0,0
7339364167055884,0,trader_request,0,1024,1,0,0
7339364167055884,0,trading_callback,0,1024,3,0,0
7339364167055884,0,trace,0,8192,13,0,0
7339364167055884,0,latency,0,4096,6,0,0
7339364267344740,0,market_ingress,0,1024,7,0,0
7339364267344740,0,trader_request,0,1024,1,0,0
7339364267344740,0,trading_callback,0,1024,3,0,0
7339364267344740,0,trace,0,8192,13,0,0
7339364267344740,0,latency,0,4096,6,0,0
7339364367634230,0,market_ingress,0,1024,7,0,0
7339364367634230,0,trader_request,0,1024,1,0,0
7339364367634230,0,trading_callback,0,1024,3,0,0
7339364367634230,0,trace,0,8192,13,0,0
7339364367634230,0,latency,0,4096,6,0,0
7339364467965232,0,market_ingress,0,1024,7,0,0
7339364467965232,0,trader_request,0,1024,1,0,0
7339364467965232,0,trading_callback,0,1024,3,0,0
7339364467965232,0,trace,0,8192,13,0,0
7339364467965232,0,latency,0,4096,6,0,0
7339364568260610,0,market_ingress,0,1024,7,0,0
7339364568260610,0,trader_request,0,1024,1,0,0
7339364568260610,0,trading_callback,0,1024,3,0,0
7339364568260610,0,trace,0,8192,13,0,0
7339364568260610,0,latency,0,4096,6,0,0
7339364668543154,0,market_ingress,0,1024,7,0,0
7339364668543154,0,trader_request,0,1024,1,0,0
7339364668543154,0,trading_callback,0,1024,3,0,0
7339364668543154,0,trace,0,8192,13,0,0
7339364668543154,0,latency,0,4096,6,0,0
7339364768829355,0,market_ingress,0,1024,7,0,0
7339364768829355,0,trader_request,0,1024,1,0,0
7339364768829355,0,trading_callback,0,1024,3,0,0
7339364768829355,0,trace,0,8192,13,0,0
7339364768829355,0,latency,0,4096,6,0,0
7339364869106679,0,market_ingress,0,1024,7,0,0
