sample_mono_ns,scope,account_index,role,tid,user_cpu_ns,system_cpu_ns,voluntary_context_switches,nonvoluntary_context_switches
7339360756403027,process,-1,process,71,0,30000000,1,1
7339360756403027,thread,-1,producer,71,0,10000000,1,1
7339360756403027,thread,-1,sampler,76,0,0,0,0
7339360756403027,thread,0,account_worker,75,0,0,0,0
7339360756403027,thread,0,trader_callback,72,0,10000000,0,0
7339360756403027,thread,0,trace_writer,73,0,0,0,0
7339360756403027,thread,0,latency_writer,74,0,0,0,0
7339360856780751,process,-1,process,71,100000000,330000000,2,1
7339360856780751,thread,-1,producer,71,0,10000000,2,1
7339360856780751,thread,-1,sampler,76,0,0,1,0
7339360856780751,thread,0,account_worker,75,30000000,60000000,0,0
7339360856780751,thread,0,trader_callback,72,20000000,90000000,0,0
7339360856780751,thread,0,trace_writer,73,20000000,70000000,0,0
7339360856780751,thread,0,latency_writer,74,20000000,80000000,0,0
7339360957059952,process,-1,process,71,210000000,620000000,103,1
7339360957059952,thread,-1,producer,71,0,10000000,103,1
7339360957059952,thread,-1,sampler,76,0,0,2,0
7339360957059952,thread,0,account_worker,75,70000000,120000000,0,0
7339360957059952,thread,0,trader_callback,72,40000000,170000000,0,0
7339360957059952,thread,0,trace_writer,73,60000000,140000000,0,0
7339360957059952,thread,0,latency_writer,74,30000000,160000000,0,5
7339361057339976,process,-1,process,71,320000000,910000000,203,1
7339361057339976,thread,-1,producer,71,0,10000000,203,1
7339361057339976,thread,-1,sampler,76,0,0,3,0
7339361057339976,thread,0,account_worker,75,130000000,160000000,0,1
7339361057339976,thread,0,trader_callback,72,70000000,240000000,0,1
7339361057339976,thread,0,trace_writer,73,60000000,230000000,0,1
7339361057339976,thread,0,latency_writer,74,40000000,250000000,0,9
7339361157708804,process,-1,process,71,410000000,1220000000,301,1
7339361157708804,thread,-1,producer,71,0,10000000,301,1
7339361157708804,thread,-1,sampler,76,0,0,4,0
7339361157708804,thread,0,account_worker,75,170000000,220000000,0,2
7339361157708804,thread,0,trader_callback,72,80000000,320000000,0,1
7339361157708804,thread,0,trace_writer,73,80000000,320000000,0,1
7339361157708804,thread,0,latency_writer,74,60000000,330000000,0,10
7339361258069836,process,-1,process,71,460000000,1570000000,402,1
7339361258069836,thread,-1,producer,71,0,10000000,402,1
7339361258069836,thread,-1,sampler,76,0,0,5,0
7339361258069836,thread,0,account_worker,75,210000000,280000000,0,2
7339361258069836,thread,0,trader_callback,72,90000000,420000000,0,1
7339361258069836,thread,0,trace_writer,73,80000000,420000000,0,2
7339361258069836,thread,0,latency_writer,74,80000000,420000000,0,10
7339361358428634,process,-1,process,71,550000000,1880000000,502,1
7339361358428634,thread,-1,producer,71,0,10000000,502,1
7339361358428634,thread,-1,sampler,76,0,0,6,0
7339361358428634,thread,0,account_worker,75,240000000,350000000,0,5
7339361358428634,thread,0,trader_callback,72,100000000,500000000,0,3
7339361358428634,thread,0,trace_writer,73,100000000,500000000,0,3
7339361358428634,thread,0,latency_writer,74,100000000,490000000,0,12
7339361458765653,process,-1,process,71,640000000,2190000000,602,1
7339361458765653,thread,-1,producer,71,0,10000000,602,1
7339361458765653,thread,-1,sampler,76,0,0,7,0
7339361458765653,thread,0,account_worker,75,280000000,410000000,0,5
7339361458765653,thread,0,trader_callback,72,110000000,590000000,0,4
7339361458765653,thread,0,trace_writer,73,110000000,580000000,0,3
7339361458765653,thread,0,latency_writer,74,110000000,570000000,0,16
7339361559115774,process,-1,process,71,730000000,2510000000,703,1
7339361559115774,thread,-1,producer,71,0,20000000,703,1
7339361559115774,thread,-1,sampler,76,0,0,8,0
7339361559115774,thread,0,account_worker,75,320000000,480000000,0,6
7339361559115774,thread,0,trader_callback,72,130000000,670000000,0,7
7339361559115774,thread,0,trace_writer,73,130000000,660000000,0,3
7339361559115774,thread,0,latency_writer,74,130000000,660000000,0,17
7339361659435616,process,-1,process,71,800000000,2840000000,803,1
7339361659435616,thread,-1,producer,71,0,20000000,803,1
