sequence,mono_ns,account_index,stage,latency_ns
150,7339362922071924,0,market_to_signal,40
151,7339362923070020,0,market_to_signal,267
152,7339362923178383,0,signal_to_order_call,107154
153,7339362923184910,0,callback_to_state,3565
154,7339362923195161,0,callback_to_state,9552
155,7339362923195161,0,simulated_end_to_end,126941
156,7339362924085789,0,market_to_signal,84
157,7339362925071224,0,market_to_signal,40
158,7339362926070876,0,market_to_signal,270
159,7339362926180172,0,signal_to_order_call,108143
160,7339362926185792,0,callback_to_state,3439
161,7339362926209674,0,callback_to_state,23160
162,7339362926209674,0,simulated_end_to_end,140572
163,7339362927070401,0,market_to_signal,96
164,7339362928072080,0,market_to_signal,255
165,7339362928180264,0,signal_to_order_call,106975
166,7339362928187688,0,callback_to_state,3904
167,7339362928198218,0,callback_to_state,9799
168,7339362928198218,0,simulated_end_to_end,127813
169,7339362929071554,0,market_to_signal,213
170,7339362930070159,0,market_to_signal,51
171,7339362931067881,0,market_to_signal,50
172,7339362932070493,0,market_to_signal,274
173,7339362932189100,0,signal_to_order_call,117373
174,7339362932196091,0,callback_to_state,3825
175,7339362932204625,0,callback_to_state,7649
176,7339362932204625,0,simulated_end_to_end,135910
177,7339362933070932,0,market_to_signal,99
178,7339362934071219,0,market_to_signal,40
179,7339362935073168,0,market_to_signal,281
180,7339362935195663,0,signal_to_order_call,115513
181,7339362935201234,0,callback_to_state,3432
182,7339362935209545,0,callback_to_state,7562
183,7339362935209545,0,simulated_end_to_end,138227
184,7339362936068887,0,market_to_signal,98
185,7339362937068514,0,market_to_signal,267
186,7339362937178253,0,signal_to_order_call,108517
187,7339362937186050,0,callback_to_state,4599
188,7339362937200509,0,callback_to_state,10547
189,7339362937200509,0,simulated_end_to_end,133898
190,7339362938070069,0,market_to_signal,149
191,7339362939070172,0,market_to_signal,55
192,7339362940071482,0,market_to_signal,40
193,7339362941070185,0,market_to_signal,409
194,7339362941181031,0,signal_to_order_call,109658
195,7339362941188405,0,callback_to_state,3921
196,7339362941203062,0,callback_to_state,13881
197,7339362941203062,0,simulated_end_to_end,134904
198,7339362942077103,0,market_to_signal,274
199,7339362943071332,0,market_to_signal,39
200,7339362944071221,0,market_to_signal,277
201,7339362944183527,0,signal_to_order_call,111310
202,7339362944189281,0,callback_to_state,3506
203,7339362944203306,0,callback_to_state,13268
204,7339362944203306,0,simulated_end_to_end,134548
205,7339362945071360,0,market_to_signal,104
206,7339362946070095,0,market_to_signal,273
207,7339362946179695,0,signal_to_order_call,108360
208,7339362946186938,0,callback_to_state,3744
209,7339362946200578,0,callback_to_state,12717
210,7339362946200578,0,simulated_end_to_end,132397
211,7339362947071079,0,market_to_signal,129
212,7339362948070135,0,market_to_signal,57
213,7339362949068427,0,market_to_signal,39
214,7339362950072120,0,market_to_signal,273
215,7339362950187269,0,signal_to_order_call,108225
216,7339362950195205,0,callback_to_state,4092
217,7339362950204725,0,callback_to_state,8501
218,7339362950204725,0,simulated_end_to_end,134514
219,7339362951070444,0,market_to_signal,127
220,7339362952069821,0,market_to_signal,38
221,7339362953070518,0,market_to_signal,275
222,7339362953179492,0,signal_to_order_call,107747
223,7339362953184938,0,callback_to_state,3511
224,7339362953194823,0,callback_to_state,9159
225,7339362953194823,0,simulated_end_to_end,126012
226,7339362954069273,0,market_to_signal,95
227,7339362955070267,0,market_to_signal,278
228,7339362955177257,0,signal_to_order_call,106049
229,7339362955184230,0,callback_to_state,3848
230,7339362955197532,0,callback_to_state,12546
231,7339362955197532,0,simulated_end_to_end,129315
232,7339362956082225,0,market_to_signal,260
233,7339362957069456,0,market_to_signal,56
234,7339362958069373,0,market_to_signal,39
235,7339362959070646,0,market_to_signal,219
236,7339362959176687,0,signal_to_order_call,104721
237,7339362959183488,0,callback_to_state,4003
238,7339362959194402,0,callback_to_state,10193
239,7339362959194402,0,simulated_end_to_end,125733
240,7339362960071682,0,market_to_signal,129
241,7339362961071669,0,market_to_signal,50
242,7339362962070385,0,market_to_signal,342
243,7339362962182094,0,signal_to_order_call,110667
244,7339362962187411,0,callback_to_state,3306
245,7339362962198642,0,callback_to_state,10357
246,7339362962198642,0,simulated_end_to_end,130160
247,7339362963069832,0,market_to_signal,97
248,7339362964071959,0,market_to_signal,259
249,7339362964196100,0,signal_to_order_call,116848
250,7339362964203002,0,callback_to_state,3383
251,7339362964211626,0,callback_to_state,7607
252,7339362964211626,0,simulated_end_to_end,141303
253,7339362965071272,0,market_to_signal,137
254,7339362966070628,0,market_to_signal,51
255,7339362967069358,0,market_to_signal,39
256,7339362968070139,0,market_to_signal,268
257,7339362968178926,0,signal_to_order_call,107803
258,7339362968185914,0,callback_to_state,3441
259,7339362968189043,0,callback_to_state,2200
260,7339362968189043,0,simulated_end_to_end,120756
261,7339362969069914,0,market_to_signal,79
262,7339362970069593,0,market_to_signal,40
263,7339362971069628,0,market_to_signal,272
264,7339362971176139,0,signal_to_order_call,105438
265,7339362971188812,0,callback_to_state,11118
266,7339362971195473,0,callback_to_state,5927
267,7339362971195473,0,simulated_end_to_end,127687
268,7339362972071797,0,market_to_signal,94
269,7339362973069250,0,market_to_signal,286
270,7339362973177411,0,signal_to_order_call,106940
271,7339362973194310,0,callback_to_state,5122
272,7339362973205084,0,callback_to_state,9744
273,7339362973205084,0,simulated_end_to_end,137632
274,7339362974071368,0,market_to_signal,136
275,7339362975068190,0,market_to_signal,50
276,7339362976074050,0,market_to_signal,41
277,7339362977070652,0,market_to_signal,277
278,7339362977178271,0,signal_to_order_call,106430
279,7339362977185243,0,callback_to_state,4011
280,7339362977188028,0,callback_to_state,2054
281,7339362977188028,0,simulated_end_to_end,119238
282,7339362978070480,0,market_to_signal,77
283,7339362979069392,0,market_to_signal,39
284,7339362980080828,0,market_to_signal,210
285,7339362980187177,0,signal_to_order_call,105286
286,7339362980192801,0,callback_to_state,3513
287,7339362980195774,0,callback_to_state,2178
288,7339362980195774,0,simulated_end_to_end,126864
289,7339362981069674,0,market_to_signal,50
290,7339362982069788,0,market_to_signal,264
291,7339362982174341,0,signal_to_order_call,103298
292,7339362982180182,0,callback_to_state,3442
293,7339362982190229,0,callback_to_state,9100
294,7339362982190229,0,simulated_end_to_end,122327
295,7339362983069953,0,market_to_signal,165
296,7339362984070082,0,market_to_signal,50
297,7339362985069195,0,market_to_signal,39
298,7339362986071381,0,market_to_signal,291
299,7339362986184845,0,signal_to_order_call,112263
300,7339362986188920,0,callback_to_state,3754
301,7339362986196598,0,callback_to_state,6345
302,7339362986196598,0,simulated_end_to_end,127192
303,7339362987069351,0,market_to_signal,97
304,7339362988076380,0,market_to_signal,40
305,7339362989068279,0,market_to_signal,270
306,7339362989174411,0,signal_to_order_call,105131
307,7339362989179556,0,callback_to_state,3215
308,7339362989189443,0,callback_to_state,8962
309,7339362989189443,0,simulated_end_to_end,123078
310,7339362990071047,0,market_to_signal,120
311,7339362991069995,0,market_to_signal,405
312,7339362991175696,0,signal_to_order_call,104617
313,7339362991181814,0,callback_to_state,3586
314,7339362991191312,0,callback_to_state,8603
315,7339362991191312,0,simulated_end_to_end,123291
316,7339362992073261,0,market_to_signal,139
317,7339362993069721,0,market_to_signal,51
318,7339362994069537,0,market_to_signal,39
319,7339362995075873,0,market_to_signal,264
320,7339362995189953,0,signal_to_order_call,112867
321,7339362995197792,0,callback_to_state,4173
322,7339362995206275,0,callback_to_state,7647
323,7339362995206275,0,simulated_end_to_end,137742
324,7339362996071388,0,market_to_signal,97
325,7339362997073036,0,market_to_signal,39
326,7339362998070173,0,market_to_signal,271
327,7339362998176532,0,signal_to_order_call,105346
328,7339362998182133,0,callback_to_state,3819
329,7339362998191478,0,callback_to_state,8578
330,7339362998191478,0,simulated_end_to_end,123197
331,7339362999071993,0,market_to_signal,122
332,7339363000070729,0,market_to_signal,262
333,7339363000176995,0,signal_to_order_call,105075
334,7339363000190339,0,callback_to_state,10818
335,7339363000197245,0,callback_to_state,6238
336,7339363000197245,0,simulated_end_to_end,128237
337,7339363001070083,0,market_to_signal,198
338,7339363002068670,0,market_to_signal,61
339,7339363003069590,0,market_to_signal,68
340,7339363004071832,0,market_to_signal,273
341,7339363004180875,0,signal_to_order_call,107800
342,7339363004187304,0,callback_to_state,3833
343,7339363004197249,0,callback_to_state,8962
344,7339363004197249,0,simulated_end_to_end,127385
345,7339363005069552,0,market_to_signal,97
346,7339363006077325,0,market_to_signal,39
347,7339363007069847,0,market_to_signal,269
348,7339363007177768,0,signal_to_order_call,106884
349,7339363007182886,0,callback_to_state,3369
350,7339363007192587,0,callback_to_state,8963
351,7339363007192587,0,simulated_end_to_end,124508
352,7339363008070293,0,market_to_signal,133
353,7339363009075999,0,market_to_signal,270
354,7339363009186946,0,signal_to_order_call,109798
355,7339363009193522,0,callback_to_state,4015
356,7339363009206591,0,callback_to_state,12344
357,7339363009206591,0,simulated_end_to_end,138609
358,7339363010069467,0,market_to_signal,138
359,7339363011071468,0,market_to_signal,51
360,7339363012071186,0,market_to_signal,40
361,7339363013069171,0,market_to_signal,268
362,7339363013179690,0,signal_to_order_call,108137
363,7339363013186603,0,callback_to_state,3762
364,7339363013189322,0,callback_to_state,1984
365,7339363013189322,0,simulated_end_to_end,121977
366,7339363014069175,0,market_to_signal,50
367,7339363015070617,0,market_to_signal,39
368,7339363016069729,0,market_to_signal,278
369,7339363016183827,0,signal_to_order_call,113119
370,7339363016189225,0,callback_to_state,3741
371,7339363016197063,0,callback_to_state,7122
372,7339363016197063,0,simulated_end_to_end,129045
373,7339363017069687,0,market_to_signal,122
374,7339363018069018,0,market_to_signal,279
375,7339363018177243,0,signal_to_order_call,106966
376,7339363018183461,0,callback_to_state,3641
377,7339363018192815,0,callback_to_state,8386
378,7339363018192815,0,simulated_end_to_end,125590
379,7339363019070264,0,market_to_signal,139
380,7339363020087656,0,market_to_signal,103
381,7339363021073352,0,market_to_signal,39
382,7339363022072162,0,market_to_signal,256
383,7339363022187333,0,signal_to_order_call,113995
384,7339363022194674,0,callback_to_state,3999
385,7339363022197502,0,callback_to_state,1962
386,7339363022197502,0,simulated_end_to_end,127497
387,7339363023076094,0,market_to_signal,120
388,7339363024079727,0,market_to_signal,50
389,7339363025070543,0,market_to_signal,267
390,7339363025184064,0,signal_to_order_call,112200
391,7339363025190334,0,callback_to_state,4145
392,7339363025193469,0,callback_to_state,2146
393,7339363025193469,0,simulated_end_to_end,124790
394,7339363026071179,0,market_to_signal,98
395,7339363027070245,0,market_to_signal,269
396,7339363027177557,0,signal_to_order_call,106299
397,7339363027183929,0,callback_to_state,3673
398,7339363027193075,0,callback_to_state,8269
399,7339363027193075,0,simulated_end_to_end,124602
400,7339363028070315,0,market_to_signal,142
401,7339363029069029,0,market_to_signal,50
402,7339363030069805,0,market_to_signal,40
403,7339363031069882,0,market_to_signal,275
404,7339363031184369,0,signal_to_order_call,111995
405,7339363031192052,0,callback_to_state,3590
406,7339363031200600,0,callback_to_state,7494
407,7339363031200600,0,simulated_end_to_end,132414
408,7339363032068935,0,market_to_signal,96
409,7339363033069558,0,market_to_signal,39
410,7339363034070970,0,market_to_signal,254
411,7339363034180473,0,signal_to_order_call,106049
412,7339363034185692,0,callback_to_state,3418
413,7339363034195974,0,callback_to_state,9576
414,7339363034195974,0,simulated_end_to_end,126842
415,7339363035071248,0,market_to_signal,97
416,7339363036072983,0,market_to_signal,264
417,7339363036179300,0,signal_to_order_call,105330
418,7339363036186736,0,callback_to_state,3666
419,7339363036197179,0,callback_to_state,9734
420,7339363036197179,0,simulated_end_to_end,125760
421,7339363037070274,0,market_to_signal,172
422,7339363038078607,0,market_to_signal,63
423,7339363039069274,0,market_to_signal,41
424,7339363040070023,0,market_to_signal,258
425,7339363040176917,0,signal_to_order_call,105731
426,7339363040184131,0,callback_to_state,4101
427,7339363040187264,0,callback_to_state,2403
428,7339363040187264,0,simulated_end_to_end,118938
429,7339363041069865,0,market_to_signal,49
430,7339363042069419,0,market_to_signal,40
431,7339363043069889,0,market_to_signal,299
432,7339363043177016,0,signal_to_order_call,106129
433,7339363043181972,0,callback_to_state,3370
434,7339363043185046,0,callback_to_state,2190
435,7339363043185046,0,simulated_end_to_end,117068
436,7339363044070918,0,market_to_signal,97
437,7339363045070086,0,market_to_signal,261
438,7339363045182942,0,signal_to_order_call,111807
439,7339363045189496,0,callback_to_state,3727
440,7339363045192414,0,callback_to_state,2035
441,7339363045192414,0,simulated_end_to_end,124214
442,7339363046071408,0,market_to_signal,178
443,7339363047070133,0,market_to_signal,49
444,7339363048069731,0,market_to_signal,40
445,7339363049069610,0,market_to_signal,277
446,7339363049176212,0,signal_to_order_call,105604
447,7339363049183343,0,callback_to_state,3808
448,7339363049185795,0,callback_to_state,1745
449,7339363049185795,0,simulated_end_to_end,117948
450,7339363050071206,0,market_to_signal,50
451,7339363051071136,0,market_to_signal,40
452,7339363052069545,0,market_to_signal,267
453,7339363052178467,0,signal_to_order_call,106836
454,7339363052183948,0,callback_to_state,3793
455,7339363052186805,0,callback_to_state,2109
456,7339363052186805,0,simulated_end_to_end,119046
457,7339363053080519,0,market_to_signal,91
458,7339363054067694,0,market_to_signal,277
459,7339363054181473,0,signal_to_order_call,112482
460,7339363054188986,0,callback_to_state,3868
461,7339363054196551,0,callback_to_state,6727
462,7339363054196551,0,simulated_end_to_end,130867
463,7339363055070371,0,market_to_signal,142
464,7339363056071890,0,market_to_signal,55
465,7339363057071073,0,market_to_signal,40
466,7339363058068784,0,market_to_signal,275
467,7339363058176882,0,signal_to_order_call,107153
468,7339363058183669,0,callback_to_state,4143
469,7339363058193515,0,callback_to_state,9132
470,7339363058193515,0,simulated_end_to_end,126915
471,7339363059069900,0,market_to_signal,92
472,7339363060069714,0,market_to_signal,39
473,7339363061070008,0,market_to_signal,253
474,7339363061185552,0,signal_to_order_call,108651
475,7339363061191504,0,callback_to_state,3954
476,7339363061194268,0,callback_to_state,2029
477,7339363061194268,0,simulated_end_to_end,125994
478,7339363062073706,0,market_to_signal,96
479,7339363063070229,0,market_to_signal,264
480,7339363063182574,0,signal_to_order_call,111346
481,7339363063189683,0,callback_to_state,4030
482,7339363063209401,0,callback_to_state,19018
483,7339363063209401,0,simulated_end_to_end,140933
484,7339363064076793,0,market_to_signal,170
485,7339363065070724,0,market_to_signal,56
486,7339363066069702,0,market_to_signal,39
487,7339363067070431,0,market_to_signal,271
488,7339363067178547,0,signal_to_order_call,107105
489,7339363067186585,0,callback_to_state,4042
490,7339363067200617,0,callback_to_state,13252
491,7339363067200617,0,simulated_end_to_end,132010
492,7339363068071349,0,market_to_signal,55
493,7339363069078782,0,market_to_signal,39
494,7339363070075919,0,market_to_signal,299
495,7339363070182914,0,signal_to_order_call,105809
496,7339363070189504,0,callback_to_state,3821
497,7339363070200885,0,callback_to_state,10652
498,7339363070200885,0,simulated_end_to_end,126930
499,7339363071069793,0,market_to_signal,105
500,7339363072071666,0,market_to_signal,271
501,7339363072178647,0,signal_to_order_call,105769
502,7339363072185137,0,callback_to_state,3888
503,7339363072195603,0,callback_to_state,9744
504,7339363072195603,0,simulated_end_to_end,125594
505,7339363073069571,0,market_to_signal,165
506,7339363074070898,0,market_to_signal,52
507,7339363075070028,0,market_to_signal,40
508,7339363076073645,0,market_to_signal,324
509,7339363076201895,0,signal_to_order_call,107550
510,7339363076215190,0,callback_to_state,5390
511,7339363076218707,0,callback_to_state,2294
512,7339363076218707,0,simulated_end_to_end,147135
513,7339363077070454,0,market_to_signal,132
514,7339363078070969,0,market_to_signal,45
515,7339363079071525,0,market_to_signal,269
516,7339363079182156,0,signal_to_order_call,108113
517,7339363079187605,0,callback_to_state,3864
518,7339363079190174,0,callback_to_state,1838
519,7339363079190174,0,simulated_end_to_end,120541
520,7339363080070613,0,market_to_signal,140
521,7339363081070359,0,market_to_signal,262
522,7339363081178262,0,signal_to_order_call,106710
523,7339363081184753,0,callback_to_state,3833
524,7339363081187317,0,callback_to_state,1813
525,7339363081187317,0,simulated_end_to_end,118760
526,7339363082079582,0,market_to_signal,79
527,7339363083069833,0,market_to_signal,50
528,7339363084069762,0,market_to_signal,39
529,7339363085068243,0,market_to_signal,275
530,7339363085183209,0,signal_to_order_call,113972
531,7339363085191299,0,callback_to_state,3912
532,7339363085194224,0,callback_to_state,2184
533,7339363085194224,0,simulated_end_to_end,127990
534,7339363086069489,0,market_to_signal,95
535,7339363087070467,0,market_to_signal,40
536,7339363088071503,0,market_to_signal,273
537,7339363088179088,0,signal_to_order_call,106342
538,7339363088184803,0,callback_to_state,3739
539,7339363088187497,0,callback_to_state,1852
540,7339363088187497,0,simulated_end_to_end,117825
541,7339363089069663,0,market_to_signal,52
542,7339363090070453,0,market_to_signal,257
543,7339363090187838,0,signal_to_order_call,105435
544,7339363090193851,0,callback_to_state,3731
545,7339363090196524,0,callback_to_state,1897
546,7339363090196524,0,simulated_end_to_end,127863
547,7339363091070494,0,market_to_signal,179
548,7339363092069923,0,market_to_signal,87
549,7339363093069408,0,market_to_signal,40
550,7339363094069961,0,market_to_signal,280
551,7339363094176324,0,signal_to_order_call,105359
552,7339363094182580,0,callback_to_state,3824
553,7339363094185205,0,callback_to_state,1741
554,7339363094185205,0,simulated_end_to_end,117189
555,7339363095069449,0,market_to_signal,50
556,7339363096070956,0,market_to_signal,38
557,7339363097069562,0,market_to_signal,269
558,7339363097176127,0,signal_to_order_call,105360
559,7339363097188709,0,callback_to_state,10866
560,7339363097191540,0,callback_to_state,2147
561,7339363097191540,0,simulated_end_to_end,123576
562,7339363098070962,0,market_to_signal,77
563,7339363099071745,0,market_to_signal,356
564,7339363099176745,0,signal_to_order_call,103995
565,7339363099183093,0,callback_to_state,3812
566,7339363099185572,0,callback_to_state,1738
567,7339363099185572,0,simulated_end_to_end,116834
568,7339363100070220,0,market_to_signal,93
569,7339363101067430,0,market_to_signal,52
570,7339363102067536,0,market_to_signal,39
571,7339363103022393,0,market_to_signal,282
572,7339363103127490,0,signal_to_order_call,104054
573,7339363103133894,0,callback_to_state,3879
574,7339363103137555,0,callback_to_state,2933
575,7339363103137555,0,simulated_end_to_end,117302
576,7339363104070371,0,market_to_signal,94
577,7339363105069867,0,market_to_signal,40
578,7339363106075165,0,market_to_signal,305
579,7339363106187768,0,signal_to_order_call,103865
580,7339363106193829,0,callback_to_state,4107
581,7339363106204385,0,callback_to_state,9770
582,7339363106204385,0,simulated_end_to_end,131846
583,7339363107071111,0,market_to_signal,126
584,7339363108071167,0,market_to_signal,344
585,7339363108180024,0,signal_to_order_call,107617
586,7339363108186703,0,callback_to_state,3825
587,7339363108196316,0,callback_to_state,8887
588,7339363108196316,0,simulated_end_to_end,126951
589,7339363109069790,0,market_to_signal,135
590,7339363110069331,0,market_to_signal,51
591,7339363111070210,0,market_to_signal,40
592,7339363112074420,0,market_to_signal,280
593,7339363112189632,0,signal_to_order_call,113879
594,7339363112202393,0,callback_to_state,9853
595,7339363112205057,0,callback_to_state,1955
596,7339363112205057,0,simulated_end_to_end,132416
597,7339363113070495,0,market_to_signal,124
598,7339363114069709,0,market_to_signal,41
599,7339363115069261,0,market_to_signal,273
600,7339363115184519,0,signal_to_order_call,113828
601,7339363115189945,0,callback_to_state,3852
602,7339363115192520,0,callback_to_state,1842
603,7339363115192520,0,simulated_end_to_end,125155
604,7339363116070582,0,market_to_signal,124
605,7339363117071177,0,market_to_signal,272
