sequence,mono_ns,account_index,stage,latency_ns
1,7350039280339022,0,market_to_signal,122
2,7350039281336467,0,market_to_signal,57
3,7350039282336779,0,market_to_signal,40
4,7350039283337276,0,market_to_signal,103
5,7350039283460997,0,signal_to_order_call,122749
6,7350039283465226,0,callback_to_state,3836
7,7350039283474653,0,callback_to_state,8306
8,7350039283474653,0,simulated_end_to_end,138513
9,7350039284336213,0,market_to_signal,95
10,7350039285336063,0,market_to_signal,40
11,7350039286338096,0,market_to_signal,107
12,7350039286453199,0,signal_to_order_call,114025
13,7350039286457093,0,callback_to_state,3498
14,7350039286466817,0,callback_to_state,8343
15,7350039286466817,0,simulated_end_to_end,130333
16,7350039287335626,0,market_to_signal,96
17,7350039288339286,0,market_to_signal,129
18,7350039288452954,0,signal_to_order_call,112469
19,7350039288462411,0,callback_to_state,3764
20,7350039288472169,0,callback_to_state,9253
21,7350039288472169,0,simulated_end_to_end,134237
22,7350039289337285,0,market_to_signal,119
23,7350039290337081,0,market_to_signal,52
24,7350039291342058,0,market_to_signal,47
25,7350039292337710,0,market_to_signal,71
26,7350039292449096,0,signal_to_order_call,110448
27,7350039292459072,0,callback_to_state,3811
28,7350039292471387,0,callback_to_state,9843
29,7350039292471387,0,simulated_end_to_end,134790
30,7350039293336333,0,market_to_signal,72
31,7350039294336268,0,market_to_signal,48
32,7350039295336038,0,market_to_signal,54
33,7350039295446866,0,signal_to_order_call,109869
34,7350039295450754,0,callback_to_state,3539
35,7350039295463492,0,callback_to_state,9635
36,7350039295463492,0,simulated_end_to_end,128928
37,7350039296336968,0,market_to_signal,90
38,7350039297336062,0,market_to_signal,54
39,7350039297461760,0,signal_to_order_call,124598
40,7350039297469094,0,callback_to_state,3733
41,7350039297477436,0,callback_to_state,7646
42,7350039297477436,0,simulated_end_to_end,142336
43,7350039298337197,0,market_to_signal,96
44,7350039299335840,0,market_to_signal,51
45,7350039300336333,0,market_to_signal,58
46,7350039301335623,0,market_to_signal,70
47,7350039301452085,0,signal_to_order_call,115445
48,7350039301463531,0,callback_to_state,5207
49,7350039301476893,0,callback_to_state,12050
50,7350039301476893,0,simulated_end_to_end,142335
51,7350039302336053,0,market_to_signal,110
52,7350039303337852,0,market_to_signal,56
53,7350039304337248,0,market_to_signal,71
54,7350039304449484,0,signal_to_order_call,111484
55,7350039304453857,0,callback_to_state,3805
56,7350039304458658,0,callback_to_state,2169
57,7350039304458658,0,simulated_end_to_end,123161
58,7350039305336433,0,market_to_signal,90
59,7350039306344069,0,market_to_signal,148
60,7350039306454991,0,signal_to_order_call,110377
61,7350039306463591,0,callback_to_state,3559
62,7350039306466427,0,callback_to_state,2165
63,7350039306466427,0,simulated_end_to_end,131556
