sample_mono_ns,scope,account_index,role,tid,user_cpu_ns,system_cpu_ns,voluntary_context_switches,nonvoluntary_context_switches
7350037179519314,process,-1,process,78,140000000,650000000,1,1
7350037179519314,thread,-1,producer,78,0,30000000,1,1
7350037179519314,thread,-1,sampler,87,0,0,1,0
7350037179519314,thread,0,account_worker,85,40000000,50000000,0,0
7350037179519314,thread,0,trader_callback,79,0,120000000,0,7
7350037179519314,thread,0,trace_writer,80,20000000,90000000,0,4
7350037179519314,thread,0,latency_writer,81,20000000,80000000,0,0
7350037179519314,thread,1,account_worker,86,10000000,40000000,0,82518
7350037179519314,thread,1,trader_callback,82,0,100000000,0,1
7350037179519314,thread,1,trace_writer,83,10000000,80000000,0,1
7350037179519314,thread,1,latency_writer,84,0,30000000,0,82573
7350037279937815,process,-1,process,78,310000000,1250000000,2,1
7350037279937815,thread,-1,producer,78,0,30000000,2,1
7350037279937815,thread,-1,sampler,87,0,0,2,0
7350037279937815,thread,0,account_worker,85,70000000,120000000,0,0
7350037279937815,thread,0,trader_callback,79,20000000,200000000,0,10
7350037279937815,thread,0,trace_writer,80,30000000,170000000,0,4
7350037279937815,thread,0,latency_writer,81,40000000,160000000,0,1
7350037279937815,thread,1,account_worker,86,40000000,90000000,0,107382
7350037279937815,thread,1,trader_callback,82,10000000,190000000,0,3
7350037279937815,thread,1,trace_writer,83,40000000,150000000,0,8
7350037279937815,thread,1,latency_writer,84,20000000,100000000,0,107383
7350037380336149,process,-1,process,78,510000000,1840000000,101,1
7350037380336149,thread,-1,producer,78,0,30000000,101,1
7350037380336149,thread,-1,sampler,87,0,0,3,0
7350037380336149,thread,0,account_worker,85,100000000,190000000,0,0
7350037380336149,thread,0,trader_callback,79,40000000,280000000,0,19
7350037380336149,thread,0,trace_writer,80,50000000,250000000,0,7
7350037380336149,thread,0,latency_writer,81,60000000,240000000,0,11
7350037380336149,thread,1,account_worker,86,100000000,130000000,0,107383
7350037380336149,thread,1,trader_callback,82,30000000,270000000,0,3
7350037380336149,thread,1,trace_writer,83,70000000,220000000,0,14
7350037380336149,thread,1,latency_writer,84,30000000,190000000,0,107388
7350037480698784,process,-1,process,78,660000000,2500000000,201,1
7350037480698784,thread,-1,producer,78,0,30000000,201,1
7350037480698784,thread,-1,sampler,87,0,0,4,0
7350037480698784,thread,0,account_worker,85,140000000,250000000,0,0
7350037480698784,thread,0,trader_callback,79,50000000,370000000,0,23
7350037480698784,thread,0,trace_writer,80,70000000,340000000,0,7
7350037480698784,thread,0,latency_writer,81,80000000,320000000,0,11
7350037480698784,thread,1,account_worker,86,120000000,210000000,0,107383
7350037480698784,thread,1,trader_callback,82,40000000,360000000,0,5
7350037480698784,thread,1,trace_writer,83,80000000,300000000,0,17
7350037480698784,thread,1,latency_writer,84,50000000,270000000,0,107393
7350037581064193,process,-1,process,78,870000000,3090000000,301,1
