mono_ns,account_index,queue,depth,capacity,high_watermark,oldest_age_ns,dropped
7350037179519314,0,market_ingress,0,1024,0,0,0
7350037179519314,0,trader_request,0,1024,0,0,0
7350037179519314,0,trading_callback,0,1024,0,0,0
7350037179519314,0,trace,0,8192,0,0,0
7350037179519314,0,latency,0,4096,0,0,0
7350037179519314,1,market_ingress,0,1024,0,0,0
7350037179519314,1,trader_request,0,1024,0,0,0
7350037179519314,1,trading_callback,0,1024,0,0,0
7350037179519314,1,trace,0,8192,0,0,0
7350037179519314,1,latency,0,4096,0,0,0
7350037279937815,0,market_ingress,0,1024,0,0,0
7350037279937815,0,trader_request,0,1024,0,0,0
7350037279937815,0,trading_callback,0,1024,0,0,0
7350037279937815,0,trace,0,8192,0,0,0
7350037279937815,0,latency,0,4096,0,0,0
7350037279937815,1,market_ingress,0,1024,0,0,0
7350037279937815,1,trader_request,0,1024,0,0,0
7350037279937815,1,trading_callback,0,1024,0,0,0
7350037279937815,1,trace,0,8192,0,0,0
7350037279937815,1,latency,0,4096,0,0,0
7350037380336149,0,market_ingress,0,1024,2,0,0
7350037380336149,0,trader_request,0,1024,1,0,0
7350037380336149,0,trading_callback,0,1024,2,0,0
7350037380336149,0,trace,0,8192,3,0,0
7350037380336149,0,latency,0,4096,0,0,0
7350037380336149,1,market_ingress,0,1024,2,0,0
7350037380336149,1,trader_request,0,1024,1,0,0
7350037380336149,1,trading_callback,0,1024,2,0,0
7350037380336149,1,trace,0,8192,3,0,0
7350037380336149,1,latency,0,4096,0,0,0
7350037480698784,0,market_ingress,0,1024,2,0,0
7350037480698784,0,trader_request,0,1024,1,0,0
7350037480698784,0,trading_callback,0,1024,2,0,0
7350037480698784,0,trace,0,8192,3,0,0
7350037480698784,0,latency,0,4096,0,0,0
7350037480698784,1,market_ingress,0,1024,2,0,0
7350037480698784,1,trader_request,0,1024,1,0,0
7350037480698784,1,trading_callback,0,1024,2,0,0
7350037480698784,1,trace,0,8192,3,0,0
7350037480698784,1,latency,0,4096,0,0,0
7350037581064193,0,market_ingress,0,1024,2,0,0
7350037581064193,0,trader_request,0,1024,1,0,0
7350037581064193,0,trading_callback,0,1024,2,0,0
7350037581064193,0,trace,0,8192,3,0,0
7350037581064193,0,latency,0,4096,0,0,0
7350037581064193,1,market_ingress,0,1024,2,0,0
7350037581064193,1,trader_request,0,1024,1,0,0
7350037581064193,1,trading_callback,0,1024,2,0,0
7350037581064193,1,trace,0,8192,3,0,0
7350037581064193,1,latency,0,4096,0,0,0
7350037681430810,0,market_ingress,0,1024,2,0,0
7350037681430810,0,trader_request,0,1024,1,0,0
7350037681430810,0,trading_callback,0,1024,2,0,0
7350037681430810,0,trace,0,8192,3,0,0
7350037681430810,0,latency,0,4096,0,0,0
7350037681430810,1,market_ingress,0,1024,2,0,0
7350037681430810,1,trader_request,0,1024,1,0,0
7350037681430810,1,trading_callback,0,1024,2,0,0
7350037681430810,1,trace,0,8192,3,0,0
7350037681430810,1,latency,0,4096,0,0,0
7350037781860605,0,market_ingress,0,1024,2,0,0
7350037781860605,0,trader_request,0,1024,1,0,0
7350037781860605,0,trading_callback,0,1024,2,0,0
7350037781860605,0,trace,0,8192,3,0,0
7350037781860605,0,latency,0,4096,0,0,0
7350037781860605,1,market_ingress,0,1024,2,0,0
7350037781860605,1,trader_request,0,1024,1,0,0
7350037781860605,1,trading_callback,0,1024,2,0,0
7350037781860605,1,trace,0,8192,3,0,0
7350037781860605,1,latency,0,4096,0,0,0
7350037882221695,0,market_ingress,0,1024,2,0,0
7350037882221695,0,trader_request,0,1024,1,0,0
7350037882221695,0,trading_callback,0,1024,2,0,0
7350037882221695,0,trace,0,8192,3,0,0
7350037882221695,0,latency,0,4096,0,0,0
7350037882221695,1,market_ingress,0,1024,3,0,0
7350037882221695,1,trader_request,0,1024,1,0,0
7350037882221695,1,trading_callback,0,1024,2,0,0
7350037882221695,1,trace,0,8192,3,0,0
7350037882221695,1,latency,0,4096,0,0,0
7350037982585338,0,market_ingress,0,1024,2,0,0
7350037982585338,0,trader_request,0,1024,1,0,0
7350037982585338,0,trading_callback,0,1024,2,0,0
7350037982585338,0,trace,0,8192,3,0,0
7350037982585338,0,latency,0,4096,0,0,0
7350037982585338,1,market_ingress,0,1024,3,0,0
7350037982585338,1,trader_request,0,1024,1,0,0
7350037982585338,1,trading_callback,0,1024,2,0,0
7350037982585338,1,trace,0,8192,3,0,0
7350037982585338,1,latency,0,4096,0,0,0
7350038082953886,0,market_ingress,0,1024,6,0,0
7350038082953886,0,trader_request,0,1024,1,0,0
7350038082953886,0,trading_callback,0,1024,3,0,0
7350038082953886,0,trace,0,8192,4,0,0
7350038082953886,0,latency,0,4096,0,0,0
7350038082953886,1,market_ingress,0,1024,3,0,0
7350038082953886,1,trader_request,0,1024,1,0,0
7350038082953886,1,trading_callback,0,1024,2,0,0
7350038082953886,1,trace,0,8192,3,0,0
7350038082953886,1,latency,0,4096,0,0,0
7350038183333138,0,market_ingress,0,1024,6,0,0
7350038183333138,0,trader_request,0,1024,1,0,0
7350038183333138,0,trading_callback,0,1024,3,0,0
