mono_ns,account_index,queue,depth,capacity,high_watermark,oldest_age_ns,dropped
7350076170019194,2,trading_callback,0,1024,2,0,0
7350076170019194,2,trace,0,8192,3,0,0
7350076170019194,2,latency,0,4096,0,0,0
7350076170019194,3,market_ingress,0,1024,1,0,0
7350076170019194,3,trader_request,0,1024,1,0,0
7350076170019194,3,trading_callback,0,1024,2,0,0
7350076170019194,3,trace,0,8192,3,0,0
7350076170019194,3,latency,0,4096,0,0,0
7350076270468068,0,market_ingress,0,1024,3,0,0
7350076270468068,0,trader_request,0,1024,1,0,0
7350076270468068,0,trading_callback,0,1024,2,0,0
7350076270468068,0,trace,0,8192,3,0,0
7350076270468068,0,latency,0,4096,0,0,0
7350076270468068,1,market_ingress,0,1024,1,0,0
7350076270468068,1,trader_request,0,1024,1,0,0
7350076270468068,1,trading_callback,0,1024,2,0,0
7350076270468068,1,trace,0,8192,3,0,0
7350076270468068,1,latency,0,4096,0,0,0
7350076270468068,2,market_ingress,0,1024,1,0,0
7350076270468068,2,trader_request,0,1024,1,0,0
7350076270468068,2,trading_callback,0,1024,2,0,0
7350076270468068,2,trace,0,8192,3,0,0
7350076270468068,2,latency,0,4096,0,0,0
7350076270468068,3,market_ingress,0,1024,1,0,0
7350076270468068,3,trader_request,0,1024,1,0,0
7350076270468068,3,trading_callback,0,1024,2,0,0
7350076270468068,3,trace,0,8192,3,0,0
7350076270468068,3,latency,0,4096,0,0,0
7350076370918531,0,market_ingress,0,1024,4,0,0
7350076370918531,0,trader_request,0,1024,1,0,0
7350076370918531,0,trading_callback,0,1024,2,0,0
7350076370918531,0,trace,0,8192,3,0,0
7350076370918531,0,latency,0,4096,0,0,0
7350076370918531,1,market_ingress,0,1024,1,0,0
7350076370918531,1,trader_request,0,1024,1,0,0
7350076370918531,1,trading_callback,0,1024,2,0,0
7350076370918531,1,trace,0,8192,3,0,0
7350076370918531,1,latency,0,4096,0,0,0
7350076370918531,2,market_ingress,0,1024,1,0,0
7350076370918531,2,trader_request,0,1024,1,0,0
7350076370918531,2,trading_callback,0,1024,2,0,0
7350076370918531,2,trace,0,8192,3,0,0
7350076370918531,2,latency,0,4096,0,0,0
7350076370918531,3,market_ingress,0,1024,1,0,0
7350076370918531,3,trader_request,0,1024,1,0,0
7350076370918531,3,trading_callback,0,1024,2,0,0
7350076370918531,3,trace,0,8192,3,0,0
7350076370918531,3,latency,0,4096,0,0,0
7350076471403027,0,market_ingress,0,1024,4,0,0
7350076471403027,0,trader_request,0,1024,1,0,0
7350076471403027,0,trading_callback,0,1024,2,0,0
7350076471403027,0,trace,0,8192,3,0,0
7350076471403027,0,latency,0,4096,0,0,0
7350076471403027,1,market_ingress,0,1024,1,0,0
7350076471403027,1,trader_request,0,1024,1,0,0
7350076471403027,1,trading_callback,0,1024,2,0,0
7350076471403027,1,trace,0,8192,3,0,0
7350076471403027,1,latency,0,4096,0,0,0
7350076471403027,2,market_ingress,0,1024,1,0,0
7350076471403027,2,trader_request,0,1024,1,0,0
7350076471403027,2,trading_callback,0,1024,2,0,0
7350076471403027,2,trace,0,8192,3,0,0
7350076471403027,2,latency,0,4096,0,0,0
7350076471403027,3,market_ingress,0,1024,1,0,0
7350076471403027,3,trader_request,1,1024,1,371970,0
7350076471403027,3,trading_callback,0,1024,2,0,0
7350076471403027,3,trace,0,8192,3,0,0
7350076471403027,3,latency,0,4096,0,0,0
7350076571894966,0,market_ingress,0,1024,7,0,0
7350076571894966,0,trader_request,0,1024,1,0,0
7350076571894966,0,trading_callback,0,1024,3,0,0
7350076571894966,0,trace,0,8192,3,0,0
7350076571894966,0,latency,0,4096,0,0,0
7350076571894966,1,market_ingress,0,1024,2,0,0
7350076571894966,1,trader_request,0,1024,1,0,0
7350076571894966,1,trading_callback,0,1024,2,0,0
7350076571894966,1,trace,0,8192,3,0,0
7350076571894966,1,latency,0,4096,0,0,0
7350076571894966,2,market_ingress,0,1024,7,0,0
7350076571894966,2,trader_request,0,1024,1,0,0
7350076571894966,2,trading_callback,0,1024,3,0,0
7350076571894966,2,trace,0,8192,4,0,0
7350076571894966,2,latency,0,4096,0,0,0
7350076571894966,3,market_ingress,0,1024,8,0,0
7350076571894966,3,trader_request,0,1024,1,0,0
7350076571894966,3,trading_callback,0,1024,3,0,0
7350076571894966,3,trace,0,8192,4,0,0
7350076571894966,3,latency,0,4096,0,0,0
7350076672405345,0,market_ingress,0,1024,7,0,0
7350076672405345,0,trader_request,0,1024,1,0,0
7350076672405345,0,trading_callback,0,1024,3,0,0
7350076672405345,0,trace,0,8192,3,0,0
7350076672405345,0,latency,0,4096,0,0,0
7350076672405345,1,market_ingress,0,1024,2,0,0
7350076672405345,1,trader_request,0,1024,1,0,0
7350076672405345,1,trading_callback,0,1024,2,0,0
7350076672405345,1,trace,0,8192,3,0,0
7350076672405345,1,latency,0,4096,0,0,0
7350076672405345,2,market_ingress,0,1024,7,0,0
7350076672405345,2,trader_request,0,1024,1,0,0
7350076672405345,2,trading_callback,0,1024,3,0,0
7350076672405345,2,trace,0,8192,4,0,0
7350076672405345,2,latency,0,4096,0,0,0
7350076672405345,3,market_ingress,0,1024,8,0,0
7350076672405345,3,trader_request,0,1024,1,0,0
7350076672405345,3,trading_callback,0,1024,3,0,0
7350076672405345,3,trace,0,8192,4,0,0
7350076672405345,3,latency,0,4096,0,0,0
7350076772857467,0,market_ingress,0,1024,7,0,0
7350076772857467,0,trader_request,0,1024,1,0,0
7350076772857467,0,trading_callback,0,1024,3,0,0
7350076772857467,0,trace,0,8192,3,0,0
7350076772857467,0,latency,0,4096,0,0,0
7350076772857467,1,market_ingress,0,1024,2,0,0
7350076772857467,1,trader_request,0,1024,1,0,0
7350076772857467,1,trading_callback,0,1024,2,0,0
7350076772857467,1,trace,0,8192,3,0,0
7350076772857467,1,latency,0,4096,0,0,0
7350076772857467,2,market_ingress,0,1024,7,0,0
7350076772857467,2,trader_request,0,1024,1,0,0
7350076772857467,2,trading_callback,0,1024,3,0,0
7350076772857467,2,trace,0,8192,4,0,0
7350076772857467,2,latency,0,4096,0,0,0
7350076772857467,3,market_ingress,0,1024,8,0,0
7350076772857467,3,trader_request,0,1024,1,0,0
7350076772857467,3,trading_callback,0,1024,3,0,0
7350076772857467,3,trace,0,8192,4,0,0
