sequence,mono_ns,account_index,stage,latency_ns
1,7350077768340722,0,market_to_signal,113
2,7350077769339627,0,market_to_signal,60
3,7350077770342061,0,market_to_signal,88
4,7350077771341602,0,market_to_signal,125
5,7350077771451450,0,signal_to_order_call,109264
6,7350077771456172,0,callback_to_state,4262
7,7350077771468619,0,callback_to_state,10999
8,7350077771468619,0,simulated_end_to_end,128502
9,7350077772341569,0,market_to_signal,85
10,7350077773339525,0,market_to_signal,90
11,7350077774339327,0,market_to_signal,105
12,7350077774438450,0,signal_to_order_call,98512
13,7350077774444437,0,callback_to_state,3338
14,7350077774459820,0,callback_to_state,14813
15,7350077774459820,0,simulated_end_to_end,121922
16,7350077775342199,0,market_to_signal,117
17,7350077776339352,0,market_to_signal,108
18,7350077776436782,0,signal_to_order_call,96860
19,7350077776442667,0,callback_to_state,3455
20,7350077776454651,0,callback_to_state,11349
21,7350077776454651,0,simulated_end_to_end,116933
22,7350077777341886,0,market_to_signal,215
23,7350077778340856,0,market_to_signal,77
24,7350077779346257,0,market_to_signal,69
25,7350077780340110,0,market_to_signal,134
26,7350077780437645,0,signal_to_order_call,96957
27,7350077780445013,0,callback_to_state,3437
28,7350077780458065,0,callback_to_state,12440
29,7350077780458065,0,simulated_end_to_end,119867
30,7350077781342109,0,market_to_signal,47
31,7350077782338988,0,market_to_signal,93
32,7350077783340369,0,market_to_signal,122
33,7350077783437862,0,signal_to_order_call,97099
34,7350077783443497,0,callback_to_state,3123
35,7350077783456853,0,callback_to_state,12557
36,7350077783456853,0,simulated_end_to_end,118293
37,7350077784341238,0,market_to_signal,128
38,7350077785339853,0,market_to_signal,91
39,7350077785454133,0,signal_to_order_call,113833
40,7350077785458015,0,callback_to_state,3581
41,7350077785468157,0,callback_to_state,8529
42,7350077785468157,0,simulated_end_to_end,130266
43,7350077786343363,0,market_to_signal,99
44,7350077787342434,0,market_to_signal,74
45,7350077788339152,0,market_to_signal,108
46,7350077789338745,0,market_to_signal,71
47,7350077789438514,0,signal_to_order_call,99206
48,7350077789445683,0,callback_to_state,3529
49,7350077789458543,0,callback_to_state,12264
50,7350077789458543,0,simulated_end_to_end,121087
51,7350077790341412,0,market_to_signal,63
52,7350077791339674,0,market_to_signal,78
53,7350077792338721,0,market_to_signal,99
54,7350077792438171,0,signal_to_order_call,98844
55,7350077792443684,0,callback_to_state,3185
56,7350077792446565,0,callback_to_state,2367
57,7350077792446565,0,simulated_end_to_end,109391
58,7350077793341816,0,market_to_signal,109
59,7350077794348854,0,market_to_signal,86
60,7350077794447755,0,signal_to_order_call,98404
61,7350077794454135,0,callback_to_state,3217
62,7350077794456666,0,callback_to_state,1946
63,7350077794456666,0,simulated_end_to_end,118817
64,7350077795341342,0,market_to_signal,124
65,7350077796341842,0,market_to_signal,71
66,7350077797339936,0,market_to_signal,81
67,7350077798339447,0,market_to_signal,104
68,7350077798438479,0,signal_to_order_call,98583
69,7350077798445614,0,callback_to_state,3516
70,7350077798459749,0,callback_to_state,13532
71,7350077798459749,0,simulated_end_to_end,121808
72,7350077799342595,0,market_to_signal,102
73,7350077800338901,0,market_to_signal,81
74,7350077801339607,0,market_to_signal,119
75,7350077801447801,0,signal_to_order_call,107535
76,7350077801452948,0,callback_to_state,3208
77,7350077801455992,0,callback_to_state,2452
78,7350077801455992,0,simulated_end_to_end,118509
79,7350077802342071,0,market_to_signal,160
80,7350077803339460,0,market_to_signal,139
81,7350077803437216,0,signal_to_order_call,97214
82,7350077803444146,0,callback_to_state,3712
83,7350077803456822,0,callback_to_state,12115
84,7350077803456822,0,simulated_end_to_end,118822
85,7350077804341268,0,market_to_signal,117
86,7350077805340491,0,market_to_signal,62
87,7350077806339489,0,market_to_signal,100
88,7350077807338742,0,market_to_signal,118
89,7350077807436621,0,signal_to_order_call,97364
90,7350077807443449,0,callback_to_state,3496
91,7350077807446251,0,callback_to_state,2169
92,7350077807446251,0,simulated_end_to_end,108926
93,7350077808356895,0,market_to_signal,190
94,7350077809338936,0,market_to_signal,68
95,7350077810338306,0,market_to_signal,105
96,7350077810435819,0,signal_to_order_call,97155
97,7350077810441801,0,callback_to_state,3507
98,7350077810444656,0,callback_to_state,2294
99,7350077810444656,0,simulated_end_to_end,107648
100,7350077811341270,0,market_to_signal,121
101,7350077812338820,0,market_to_signal,92
102,7350077812438326,0,signal_to_order_call,99085
103,7350077812445329,0,callback_to_state,3398
104,7350077812448041,0,callback_to_state,2076
105,7350077812448041,0,simulated_end_to_end,110761
106,7350077813342914,0,market_to_signal,154
107,7350077814339735,0,market_to_signal,58
108,7350077815338905,0,market_to_signal,100
109,7350077816340446,0,market_to_signal,100
110,7350077816462020,0,signal_to_order_call,106519
111,7350077816470529,0,callback_to_state,3780
112,7350077816474447,0,callback_to_state,2521
113,7350077816474447,0,simulated_end_to_end,135618
114,7350077817341439,0,market_to_signal,110
115,7350077818338976,0,market_to_signal,69
116,7350077819338581,0,market_to_signal,92
117,7350077819436340,0,signal_to_order_call,97160
118,7350077819441938,0,callback_to_state,3240
119,7350077819445075,0,callback_to_state,2475
120,7350077819445075,0,simulated_end_to_end,107797
121,7350077820347389,0,market_to_signal,82
122,7350077821339008,0,market_to_signal,70
123,7350077821436166,0,signal_to_order_call,96712
124,7350077821443063,0,callback_to_state,3600
125,7350077821445572,0,callback_to_state,1872
126,7350077821445572,0,simulated_end_to_end,108004
127,7350077822342980,0,market_to_signal,137
128,7350077823346514,0,market_to_signal,94
129,7350077824339513,0,market_to_signal,89
130,7350077825339250,0,market_to_signal,54
131,7350077825437151,0,signal_to_order_call,97373
132,7350077825444252,0,callback_to_state,3455
133,7350077825458062,0,callback_to_state,13228
134,7350077825458062,0,simulated_end_to_end,120203
135,7350077826342322,0,market_to_signal,114
136,7350077827339346,0,market_to_signal,39
137,7350077828339276,0,market_to_signal,91
138,7350077828436629,0,signal_to_order_call,96869
139,7350077828442503,0,callback_to_state,3369
140,7350077828445158,0,callback_to_state,2061
141,7350077828445158,0,simulated_end_to_end,107593
142,7350077829342034,0,market_to_signal,121
143,7350077830339394,0,market_to_signal,76
144,7350077830446713,0,signal_to_order_call,106741
145,7350077830453047,0,callback_to_state,3783
146,7350077830463351,0,callback_to_state,9437
147,7350077830463351,0,simulated_end_to_end,125262
148,7350077831345320,0,market_to_signal,78
149,7350077832339566,0,market_to_signal,78
150,7350077833343270,0,market_to_signal,88
151,7350077834338563,0,market_to_signal,104
152,7350077834440799,0,signal_to_order_call,101645
153,7350077834448311,0,callback_to_state,3428
154,7350077834459477,0,callback_to_state,10611
155,7350077834459477,0,simulated_end_to_end,122207
156,7350077835343393,0,market_to_signal,93
157,7350077836339321,0,market_to_signal,80
158,7350077837340488,0,market_to_signal,102
159,7350077837436840,0,signal_to_order_call,95788
160,7350077837442767,0,callback_to_state,3373
161,7350077837454532,0,callback_to_state,11125
162,7350077837454532,0,simulated_end_to_end,115825
163,7350077838342407,0,market_to_signal,111
164,7350077839339586,0,market_to_signal,66
165,7350077839435738,0,signal_to_order_call,95732
166,7350077839442867,0,callback_to_state,4110
167,7350077839455415,0,callback_to_state,11918
168,7350077839455415,0,simulated_end_to_end,117906
169,7350077840341939,0,market_to_signal,195
170,7350077841339041,0,market_to_signal,73
171,7350077842339551,0,market_to_signal,95
172,7350077843338873,0,market_to_signal,87
173,7350077843457186,0,signal_to_order_call,117695
174,7350077843464974,0,callback_to_state,3741
175,7350077843475289,0,callback_to_state,9674
176,7350077843475289,0,simulated_end_to_end,137761
177,7350077844342505,0,market_to_signal,128
178,7350077845339061,0,market_to_signal,85
179,7350077846338435,0,market_to_signal,87
180,7350077846452422,0,signal_to_order_call,106251
181,7350077846458699,0,callback_to_state,3936
182,7350077846461586,0,callback_to_state,2420
183,7350077846461586,0,simulated_end_to_end,124534
184,7350077847341558,0,market_to_signal,106
185,7350077848338722,0,market_to_signal,85
186,7350077848437226,0,signal_to_order_call,97968
187,7350077848444048,0,callback_to_state,3451
188,7350077848458830,0,callback_to_state,14194
189,7350077848458830,0,simulated_end_to_end,121532
190,7350077849344553,0,market_to_signal,152
